SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
31,27,27,27,41,41	3,2,2,2,4,4	2,2,2,2,6,6	0.0033557612914592028,0.005189246963709593,0.006142209284007549,0.004622155334800482,3.2104706042446196E-4,3.1947519164532423E-4	79.59364318847656,82.74559783935547,83.22212982177734,83.06818389892578,74.02275848388672,74.02275848388672	26253.json
23	2	2	0.0	87.84210968017578	4281.json
3	1	0	0.7516277432441711	130.85629272460938	11879.json
3	1	0	0.4208962917327881	129.47398376464844	14050.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9617156386375427,0.9617156386375427,0.9617156386375427,0.9574421644210815	129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344	12851.json
9,10,10,8	3,3,3,2	4,4,4,2	0.08966436237096786,0.07434665411710739,0.07434665411710739,0.2406504601240158	104.8695297241211,103.13654327392578,103.13654327392578,108.18831634521484	24667.json
8,7,3,3,3	2,2,1,1,1	0,0,0,0,0	0.14705780148506165,0.11641691625118256,0.0018165631918236613,0.00313564226962626,0.0021515965927392244	108.78446960449219,111.17379760742188,126.48982238769531,127.76480865478516,127.76480865478516	27672.json
4	1	0	0.6313504576683044	123.85247039794922	16260.json
3	1	0	0.03249379247426987	129.69032287597656	14758.json
5,5	1,1	0,0	0.22500063478946686,0.21335259079933167	120.53388214111328,120.53388214111328	8739.json
4,4	1,1	0,0	0.6327239871025085,0.6327239871025085	125.27178192138672,125.27178192138672	21187.json
5	1	0	0.006366219837218523	116.26677703857422	25505.json
10,8,8,8	4,3,3,3	6,6,6,6	0.02161085046827793,0.028530670329928398,0.028530670329928398,0.027514589950442314	102.07575988769531,106.51561737060547,106.51561737060547,106.51561737060547	18737.json
3,3,3,3	1,1,1,1	0,0,0,0	0.1608770191669464,0.0,0.038712408393621445,0.16086629033088684	129.47398376464844,126.78941345214844,128.0337677001953,129.47398376464844	26730.json
3	1	0	0.9512563943862915	133.59722900390625	22515.json
3	1	0	0.0020036082714796066	128.60531616210938	11120.json
3,3,3,3	1,1,1,1	0,0,0,0	0.4266256093978882,0.4266256093978882,0.4266256093978882,0.5400073528289795	129.81280517578125,129.81280517578125,129.81280517578125,130.85745239257812	15746.json
11,11,10,10,8	1,1,1,1,1	0,0,0,0,0	0.043541695922613144,0.006992219015955925,0.01865452341735363,0.011282472871243954,0.006746751721948385	102.0585708618164,100.49049377441406,103.57060241699219,103.41058349609375,107.66061401367188	731.json
22,19,19,19,19,19,11,16,16,16,16,16,12,12,18	5,4,4,4,4,4,2,2,2,2,2,2,1,1,2	8,6,6,6,6,6,2,2,2,2,2,2,0,0,2	0.0,0.0,0.0,0.0,0.0,0.0,7.08149338606745E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	84.06195068359375,87.52767181396484,87.52767181396484,87.52767181396484,87.52767181396484,87.292724609375,98.88552856445312,90.9240493774414,90.9240493774414,90.88311767578125,90.84761810302734,90.57886505126953,97.13047790527344,97.13047790527344,88.51232147216797	17454.json
3,3	1,1	0,0	0.8652933239936829,0.8652933239936829	132.4454345703125,132.4454345703125	26158.json
3	1	0	0.013292161747813225	133.59722900390625	11890.json
3	1	0	0.5740577578544617	130.34019470214844	26961.json
4,4	1,1	0,0	0.11244439333677292,0.1077326238155365	122.5160903930664,122.5160903930664	15625.json
3,3	1,1	0,0	0.012285069562494755,0.012285069562494755	128.0374755859375,128.0374755859375	9386.json
4,4	1,2	0,2	0.11382810026407242,0.09567631781101227	121.15380859375,120.5384521484375	11181.json
4,4,4,4	1,1,1,1	0,0,0,0	0.19342775642871857,0.1881602257490158,0.1881602257490158,0.1789015829563141	122.5949478149414,122.5949478149414,122.5949478149414,122.5949478149414	21948.json
3,3	1,1	0,0	0.5752816200256348,0.5752816200256348	128.0600128173828,128.0600128173828	17137.json
9,11,10,9,9,9	2,2,2,2,2,2	7,0,0,0,0,0	0.006787097547203302,3.9466051384806633E-4,0.0,0.005448385141789913,0.0011636733543127775,0.0011603704188019037	103.53768920898438,99.75421142578125,101.90872192382812,106.76690673828125,105.38304138183594,105.38304138183594	27954.json
3	1	0	0.010102513246238232	133.59722900390625	24846.json
4,4,4	1,1,1	0,0,0	0.16302838921546936,0.16302838921546936,0.1912630796432495	122.678955078125,122.678955078125,122.76876068115234	16406.json
14	6	19	0.001719101332128048	94.21461486816406	19954.json
