SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
7,9,9	1,1,1	0,0,0	2.640036109369248E-4,0.0,2.04938231036067E-4	108.25245666503906,102.36639404296875,102.5867919921875	4925.json
14,13	3,3	2,2	0.3283580541610718,0.6269552111625671	99.48869323730469,100.85547637939453	4281.json
14	3	2	0.8472355604171753	100.01419830322266	148.json
4	1	0	0.8137957453727722	127.59107971191406	11879.json
6,4,7,7,7,7,7	2,1,2,2,2,2,2	2,0,2,2,2,2,4	0.7082688212394714,0.7116879820823669,0.40650588274002075,0.40650588274002075,0.40650588274002075,0.6120548248291016,0.5937735438346863	116.30582427978516,127.09062194824219,113.80858612060547,113.80858612060547,113.80858612060547,113.80858612060547,113.54827117919922	12851.json
76,76,83,88,88,88,89,88,102,99	17,17,19,20,20,20,20,20,25,24	44,44,54,54,54,54,54,54,60,58	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	55.57320022583008,55.57320022583008,52.9102783203125,51.58449172973633,51.57395553588867,51.57395553588867,51.205867767333984,51.55294418334961,47.251991271972656,48.0849723815918	5081.json
4,4,4,4,4,7	1,1,1,1,1,2	0,0,0,0,0,2	0.020653219893574715,0.020653219893574715,0.020653219893574715,0.020653219893574715,0.020653219893574715,0.06562381982803345	124.58238983154297,124.58238983154297,124.58238983154297,124.58238983154297,124.58238983154297,112.90506744384766	11120.json
5,5	1,1	0,0	0.9235098958015442,0.9184688925743103	123.47569274902344,123.47569274902344	4428.json
5	1	0	0.03765896335244179	118.82691955566406	8474.json
10	2	0	0.04876994341611862	104.128662109375	731.json
26	7	12	0.003534518415108323	82.18197631835938	4623.json
11	2	0	0.6568776965141296	106.15082550048828	183.json
4,5,5	1,1,1	0,0,0	0.9020708799362183,0.6753966212272644,0.6753966212272644	127.27810668945312,122.03304290771484,122.03304290771484	1808.json
6,7,7,6,6,7	1,1,1,1,1,1	0,0,0,0,0,0	0.08818139880895615,0.038902461528778076,0.426224023103714,0.7696196436882019,0.7696196436882019,0.9210108518600464	114.84461975097656,111.24065399169922,111.24065399169922,116.04021453857422,116.04021453857422,112.71955871582031	11890.json
11,11,11,11	1,1,1,1	0,0,0,0	0.18656501173973083,0.5299762487411499,0.5299762487411499,0.5299762487411499	105.02381134033203,105.96814727783203,105.96814727783203,105.96814727783203	9386.json
7,7	1,1	0,0	0.22547011077404022,0.22021032869815826	112.91670227050781,112.91670227050781	1926.json
