SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.5918906331062317	131.60296630859375	4925.json
19,19,19,19,19,13,18	6,6,6,6,6,4,4	4,4,4,4,4,4,4	0.028846288099884987,0.02997170016169548,0.02997170016169548,0.02997170016169548,0.029253335669636726,0.05407669395208359,0.013011631555855274	89.80770874023438,89.80770874023438,89.80770874023438,89.80770874023438,89.96179962158203,98.05121612548828,89.7866439819336	4281.json
4	1	0	0.7325300574302673	123.75868225097656	4913.json
28,28,28	4,4,4	7,7,7	0.0,0.0,0.0	78.64327239990234,78.64327239990234,78.64327239990234	148.json
24	5	11	0.0019109519198536873	82.49746704101562	4428.json
13,14,14,12,11,13,14	5,5,5,4,4,4,4	9,13,13,11,10,12,12	0.19948379695415497,0.1185251995921135,0.1185251995921135,0.058190181851387024,0.08839748799800873,0.11676501482725143,0.10158691555261612	98.01837921142578,95.85991668701172,95.85991668701172,98.53614807128906,100.65311431884766,97.50618743896484,95.85540008544922	3721.json
10	3	4	0.12623848021030426	103.34567260742188	8365.json
20	3	4	3.2698296126909554E-4	87.51353454589844	731.json
3	1	0	0.2299317717552185	130.07347106933594	183.json
11	3	4	0.012611947022378445	100.07009887695312	1808.json
3,3	1,1	0,0	0.40377166867256165,0.3410797119140625	129.7158966064453,128.3351287841797	5782.json
7,7,10	2,2,2	3,3,3	0.010576166212558746,0.0044094230979681015,0.006062139756977558	110.45756530761719,110.00166320800781,103.02945709228516	9386.json
44,47,47,49,53	10,11,11,11,12	13,15,15,15,15	0.0,0.0,0.0,0.0,0.0	68.7959976196289,67.15048217773438,67.18622589111328,66.40489959716797,64.78338623046875	5530.json
10,10,10	4,4,4	11,11,11	7.923658122308552E-4,8.049337775446475E-4,7.977167842909694E-4	101.11369323730469,101.0726547241211,101.0726547241211	6513.json
7	1	0	0.10030468553304672	109.96067810058594	4016.json
9	3	2	0.3202921152114868	105.52632904052734	10416.json
14,15,15,14,14	4,4,4,4,4	6,6,6,6,6	0.14078308641910553,0.07932467758655548,0.08865965157747269,0.22193589806556702,0.2441718429327011	95.82777404785156,94.30875396728516,94.30875396728516,95.82777404785156,95.82777404785156	6428.json
4	1	0	0.4701243042945862	125.64796447753906	6262.json
11,13	3,4	4,6	0.20182377099990845,0.31491467356681824	102.26094055175781,98.42039489746094	6348.json
8	1	0	0.05099418759346008	109.23433685302734	3198.json
28,28	7,7	18,18	0.0019243997521698475,0.0019243997521698475	78.4465560913086,78.4465560913086	3663.json
4	1	0	0.009433231316506863	121.75926971435547	4040.json
4	1	0	0.8914163708686829	125.79222106933594	9358.json
5	1	0	0.33474448323249817	121.18380737304688	7397.json
3,3	1,1	0,0	0.04434126988053322,0.04434126988053322	129.2428436279297,129.2428436279297	4374.json
78,79,79,82,82,82,82,86,86,105	15,15,15,16,16,16,16,17,17,20	28,28,28,28,28,28,28,29,29,34	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	55.180850982666016,55.037391662597656,55.037391662597656,53.55900192260742,53.528350830078125,53.528350830078125,53.528350830078125,52.327903747558594,52.327903747558594,47.59919357299805	7188.json
15,15,21,21,21,30,27,29,29,29,29	4,4,4,4,4,8,8,8,8,8,8	4,4,4,4,4,10,10,10,10,10,10	0.0011612540110945702,8.543230942450464E-4,0.0022495947778224945,0.0022510059643536806,0.0016486708773300052,0.0027660490013659,0.0034240386448800564,0.004261101596057415,0.004267030395567417,0.004237452521920204,0.0034433878026902676	91.85961151123047,91.71561431884766,85.43019104003906,85.43019104003906,85.28504943847656,76.95294952392578,78.849853515625,77.46930694580078,77.46930694580078,77.49449157714844,77.42660522460938	431.json
4,4	1,1	0,0	0.0016117467312142253,0.0016117467312142253	121.75926971435547,121.75926971435547	3796.json
3	1	0	0.8756313920021057	133.80813598632812	3575.json
3,3	1,1	0,0	0.9228177666664124,0.9212723970413208	130.85629272460938,131.1535186767578	6239.json
4	1	0	0.7072992920875549	125.64796447753906	7359.json
25,25	8,8	22,22	0.0015112629625946283,0.0014975417871028185	81.73638916015625,81.76898956298828	7760.json
10,10	2,2	0,0	0.23482950031757355,0.23376309871673584	104.67636108398438,104.5733871459961	8264.json
13	3	3	0.04289050027728081	97.5085220336914	6364.json
3	1	0	0.7665586471557617	131.60296630859375	9233.json
3	1	0	0.866952657699585	131.91592407226562	7064.json
7,7,9,8,9,14,15	3,3,3,3,3,4,4	3,3,3,3,5,6,6	0.15039579570293427,0.15039579570293427,0.2905290126800537,0.20850509405136108,0.03380861133337021,0.08860985189676285,0.08456572145223618	110.82684326171875,110.82684326171875,106.20616912841797,108.54934692382812,105.09672546386719,94.99588012695312,93.8781967163086	3018.json
4,4	1,1	0,0	0.7693908214569092,0.769087553024292	125.15930938720703,125.5254898071289	7264.json
3	1	0	0.6981931328773499	133.59722900390625	6424.json
9,9,4,4	1,1,1,1	0,0,0,0	0.09448733180761337,0.05492344871163368,0.06714051961898804,0.06351586431264877	106.98943328857422,106.93495178222656,123.47842407226562,123.75868225097656	1044.json
24,23,27,23,23,28,28,25,27	6,6,6,6,6,6,6,5,5	2,2,2,2,2,2,2,2,2	0.024075211957097054,1.664240553509444E-4,0.0,1.664240553509444E-4,0.0,0.0,0.0,1.622093841433525E-4,1.407376694260165E-4	82.94441986083984,82.63540649414062,79.73733520507812,82.63540649414062,82.35874938964844,79.08979034423828,79.11625671386719,81.86140441894531,80.2439956665039	333.json
12,14	1,1	0,0	1.315037370659411E-4,0.0	99.61556243896484,96.17234802246094	10055.json
15	4	6	0.01617199368774891	95.61558532714844	284.json
26	6	9	7.19638483133167E-4	80.80476379394531	2978.json
4,4	2,2	2,2	0.28190484642982483,0.25849902629852295	120.85204315185547,121.1187744140625	4512.json
4,4	1,1	0,0	0.6069573163986206,0.5927062630653381	124.26470947265625,124.58238983154297	2514.json
3,3	1,1	0,0	0.2118959277868271,0.2118959277868271	128.62307739257812,128.62307739257812	4160.json
