SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4,4	1,1	0,0	0.40346759557724,0.40346759557724	123.28064727783203,123.28064727783203	2184.json
3	1	0	0.7687375545501709	129.93223571777344	148.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309	131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312	183.json
5,4,4	1,1,1	0,0,0	0.038063809275627136,0.015873322263360023,0.015873322263360023	120.0484390258789,123.55950164794922,123.55950164794922	4016.json
3	1	0	0.00670072203502059	127.8512954711914	3198.json
3,3,3,3	1,1,1,1	0,0,0,0	0.0023481184616684914,0.0024041577707976103,0.0024041577707976103,8.967037429101765E-4	128.0337677001953,128.0337677001953,128.0337677001953,127.26738739013672	3663.json
8,8,8,8	2,2,2,2	2,2,2,2	0.12606671452522278,0.12606671452522278,0.12606671452522278,0.23547504842281342	106.93966674804688,106.93966674804688,106.93966674804688,107.36966705322266	415.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.6587802171707153,0.6420592069625854,0.6369033455848694,0.6369033455848694,0.9138051867485046	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,133.59722900390625	4040.json
3	1	0	0.6654700040817261	130.34019470214844	3421.json
5	3	4	0.6861585974693298	116.05157470703125	431.json
3,3	1,1	0,0	0.7358826994895935,0.7358826994895935	130.70933532714844,130.70933532714844	3796.json
23,23,18,19,21,21,21,19	8,8,5,5,5,5,5,5	18,18,12,12,12,12,10,10	4.0830549551174045E-4,4.0830549551174045E-4,0.01636751927435398,0.015466256067156792,0.006169901229441166,0.004874065518379211,0.001267545623704791,9.518979932181537E-4	82.60313415527344,82.60313415527344,89.52613830566406,88.26974487304688,86.17304992675781,85.8877944946289,85.42053985595703,87.24264526367188	3575.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7251454591751099,0.710246205329895,0.7007753849029541,0.7007753849029541	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	4044.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.7389223575592041,0.7389223575592041,0.7389223575592041,0.7389223575592041,0.7389223575592041	131.75106811523438,131.75106811523438,131.75106811523438,131.75106811523438,131.75106811523438	3018.json
3	1	0	0.5639527440071106	131.28770446777344	1044.json
13,13,13,13,12	3,3,3,3,3	15,15,15,15,15	0.16402363777160645,0.15616066753864288,0.1730336844921112,0.1730336844921112,0.14488181471824646	97.23698425292969,97.23698425292969,97.36382293701172,97.36382293701172,99.25833129882812	4080.json
8	3	4	0.7938093543052673	108.79564666748047	333.json
4	2	2	0.011113789863884449	120.92381286621094	284.json
3	1	0	0.08601625263690948	130.34019470214844	2514.json
3,3,3,3	1,1,1,1	0,0,0,0	0.15521711111068726,0.3720197379589081,0.15521711111068726,0.15521711111068726	130.18594360351562,131.28770446777344,130.18594360351562,130.18594360351562	4160.json
14	2	2	0.06724239885807037	95.54573059082031	2605.json
4	1	0	0.03190525993704796	120.53455352783203	2311.json
7,7	2,2	1,1	0.8728377819061279,0.8728377819061279	115.75962829589844,115.75962829589844	2326.json
30,38,38,38,38,38,12,12,12	4,6,6,6,6,6,2,2,2	8,12,12,12,12,12,2,2,2	1.3400499301496893E-4,0.0,0.0,0.0,0.0,0.0,0.0606340691447258,0.04693029820919037,0.058022093027830124	76.97134399414062,71.6728744506836,71.6728744506836,71.6728744506836,71.6728744506836,71.6728744506836,97.1969985961914,96.85054779052734,97.0213851928711	1947.json
3	1	0	0.26643335819244385	131.91592407226562	2483.json
4,4	1,1	0,0	0.9615780711174011,0.9615780711174011	127.09062194824219,127.09062194824219	530.json
10,10,10,10	3,3,3,3	4,4,4,4	0.24722006916999817,0.22688637673854828,0.22688637673854828,0.22688637673854828	103.35611724853516,103.35611724853516,103.35611724853516,103.35611724853516	403.json
11	2	3	0.09517590701580048	101.40481567382812	2736.json
10,5,5,5,5,5,5,5,10,13,5	3,1,1,1,1,1,1,1,2,3,1	2,0,0,0,0,0,0,0,2,4,0	0.8332398533821106,0.7409172058105469,0.7415003776550293,0.7415003776550293,0.7415003776550293,0.7435719966888428,0.7435719966888428,0.7435719966888428,0.14496885240077972,0.18151572346687317,0.8491741418838501	106.10784149169922,118.44156646728516,118.44156646728516,118.44156646728516,118.44156646728516,118.44156646728516,118.44156646728516,118.44156646728516,103.10238647460938,97.64368438720703,120.6497802734375	1737.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.1416582614183426,0.1416582614183426,0.1416582614183426,0.1416582614183426,0.1416582614183426	127.690673828125,127.690673828125,127.690673828125,127.690673828125,127.690673828125	2569.json
5,5,5,5,5,5,5	2,2,2,2,2,2,2	3,3,3,3,3,3,3	0.46871039271354675,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.37459442019462585	118.83403015136719,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234	2748.json
3,3	1,1	0,0	0.2559189796447754,0.2559189796447754	129.47398376464844,129.47398376464844	3937.json
3,3	1,1	0,0	0.5280433893203735,0.5280433893203735	129.47398376464844,129.47398376464844	44.json
5,5,3	1,1,1	0,0,0	0.05093764141201973,0.051011018455028534,0.017340494319796562	117.3387222290039,117.3387222290039,127.34163665771484	4196.json
4,3	1,1	0,0	0.09004239737987518,0.7071081399917603	122.84404754638672,131.60296630859375	250.json
3	1	0	0.8745378851890564	133.80813598632812	927.json
8	2	0	0.004032770171761513	107.70198059082031	2872.json
20	4	7	8.680449682287872E-4	86.87118530273438	3776.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9111055731773376,0.7567142844200134,0.7567142844200134,0.018600238487124443	130.85629272460938,130.18594360351562,130.18594360351562,129.12539672851562	3826.json
6	1	0	0.0050735739059746265	111.35706329345703	2271.json
10,10	4,4	7,7	0.5400445461273193,0.5400445461273193	104.72940826416016,104.72940826416016	4155.json
10	2	4	0.07346547394990921	104.58395385742188	225.json
3,3	1,1	0,0	0.9986928105354309,0.9986928105354309	132.086669921875,132.086669921875	2212.json
3	1	0	0.9283536076545715	131.28770446777344	3079.json
21,21,21,21,44,44,44	5,5,5,5,10,10,10	14,14,14,14,21,18,18	0.0016046656528487802,0.00169300043489784,0.00169300043489784,0.00169300043489784,3.6317386548034847E-4,3.565651713870466E-4,2.660466998349875E-4	85.57120513916016,85.57120513916016,85.57120513916016,85.57120513916016,69.59642028808594,70.17900085449219,70.17900085449219	1684.json
11,11,11,9,9,9,9,7,9,9	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.912784993648529,0.7229200601577759,0.810185968875885,0.9763627052307129,0.9763627052307129,0.9767234921455383,0.9768252968788147,0.9927294254302979,0.8110031485557556,0.8110031485557556	101.064697265625,100.61148071289062,100.78355407714844,106.20822143554688,106.20822143554688,106.20822143554688,106.20822143554688,112.62112426757812,106.56470489501953,106.56470489501953	1975.json
5,7	1,1	0,0	0.9804601669311523,0.48771071434020996	120.13368225097656,112.0172119140625	1982.json
5,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.3069128096103668,0.13867725431919098,0.14393192529678345,0.14393192529678345,0.15469218790531158	120.85002136230469,123.94486236572266,123.94486236572266,123.94486236572266,123.94486236572266	4009.json
24	5	11	9.168868418782949E-4	82.59060668945312	355.json
8	2	2	0.011893190443515778	105.74437713623047	359.json
3,3	1,1	0,0	0.5610072016716003,0.5610072016716003	129.47398376464844,129.47398376464844	47.json
5,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.15408200025558472,0.15408200025558472,0.15408200025558472,0.15408200025558472,0.15408200025558472	118.2886962890625,118.2886962890625,118.2886962890625,118.2886962890625,118.2886962890625	3029.json
3,3	1,1	0,0	0.2596171200275421,0.2583693563938141	128.14134216308594,128.14134216308594	1907.json
3,3,3,3	2,2,2,2	3,3,3,3	0.9138513803482056,0.9138513803482056,0.9138513803482056,0.9138513803482056	129.8434600830078,129.8434600830078,129.8434600830078,129.8434600830078	70.json
102,102	42,42	45,45	0.0,0.0	42.608192443847656,42.78818130493164	296.json
3,3,3	1,1,1	0,0,0	0.8298745155334473,0.408157616853714,0.46843352913856506	131.28770446777344,129.94700622558594,129.94700622558594	1701.json
3	1	0	0.0014386976836249232	128.22288513183594	4173.json
7,3,3,3	2,1,1,1	2,0,0,0	0.44032421708106995,0.6983403563499451,0.6653255224227905,0.6653255224227905	114.48006439208984,132.25152587890625,131.91592407226562,131.91592407226562	3957.json
5,8,8,8,8,11,11,11,13	1,2,2,2,2,3,3,3,3	0,2,2,2,2,4,4,4,4	0.009519096463918686,0.3763212263584137,0.5726879835128784,0.3763212263584137,0.18805572390556335,0.13482095301151276,0.1657571941614151,0.1657571941614151,0.21544989943504333	118.83859252929688,108.66751861572266,108.95069885253906,108.66751861572266,108.29129028320312,101.64846801757812,101.64846801757812,101.64846801757812,98.68193054199219	3934.json
4,4,4,4	1,1,1,1	0,0,0,0	0.011950087733566761,0.011882570572197437,0.012401996180415154,0.012401996180415154	123.10436248779297,123.10436248779297,123.10436248779297,123.10436248779297	4014.json
