SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.7810276746749878	132.25152587890625	2184.json
7,5	2,1	2,0	0.4152476489543915,0.6874092221260071	111.91561889648438,120.54627227783203	183.json
5,5,5,3	2,2,2,1	3,3,3,0	0.030870741233229637,0.030870741233229637,0.030870741233229637,0.0012989571550861	117.84197235107422,117.84197235107422,117.84197235107422,127.42049407958984	1926.json
5,5,6,6	1,1,1,1	0,0,0,0	0.010027165524661541,0.010027165524661541,0.0029830432031303644,0.018980534747242928	116.1898193359375,116.1898193359375,111.37727355957031,111.61672973632812	415.json
3	1	0	0.759047269821167	130.99049377441406	1490.json
3,3	1,1	0,0	0.0,0.0	130.57513427734375,131.28770446777344	220.json
3	1	0	0.7717682123184204	129.9696044921875	307.json
5	2	3	0.1389428675174713	119.53209686279297	2311.json
5	2	5	0.0037609890569001436	118.16889190673828	2326.json
3	1	0	0.0025328379124403	127.67500305175781	1947.json
3	1	0	0.001787868095561862	126.9422836303711	2063.json
10	3	6	0.45807892084121704	103.91152954101562	1182.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.004160651471465826,7.425162475556135E-4,6.462443270720541E-4,2.523654547985643E-4,2.7397775556892157E-4	123.65223693847656,123.01455688476562,123.01455688476562,122.5949478149414,122.5949478149414	530.json
3,3,3,3	1,1,1,1	0,0,0,0	1.8736737547442317E-4,1.8736737547442317E-4,1.8736737547442317E-4,0.0	127.26919555664062,127.26919555664062,127.26919555664062,127.17938995361328	2039.json
9,9	2,2	3,3	0.0028865989297628403,0.00242913281545043	103.72474670410156,103.72474670410156	526.json
3,4	1,1	0,0	4.469208652153611E-4,0.06711715459823608	126.71056365966797,121.61679077148438	403.json
3,3	1,1	0,0	0.018603594973683357,0.026281239464879036	129.49453735351562,129.36033630371094	1737.json
3,3,3	1,1,1	0,0,0	0.2863287925720215,0.4557426869869232,0.2742868661880493	130.85745239257812,130.70933532714844,129.69032287597656	1765.json
3	1	0	0.8072784543037415	129.7158966064453	577.json
8,8	2,2	2,2	0.01773562841117382,0.010239101946353912	107.45475769042969,107.45475769042969	44.json
3	1	0	0.0391305647790432	129.47398376464844	1285.json
3	1	0	0.08924777805805206	127.94110107421875	250.json
3,3	1,1	0,0	0.027342071756720543,0.04469494894146919	129.36033630371094,129.2378692626953	2228.json
3	1	0	0.0024535751435905695	126.9422836303711	2140.json
3	1	0	0.0023480053059756756	128.21994018554688	1937.json
4,4,4,4,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.46067383885383606,0.46067383885383606,0.46067383885383606,0.46067383885383606,0.2575444281101227,0.46067383885383606	125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,124.26470947265625,125.27178192138672	225.json
7,7,7,9,9,7,9,12,12,13,13,14,11,11,12,12,11,11,11,11,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,25,24,24,19,19,20,20,20,22,22,22,22,22,24,26,21,21,20,21,21,21,21,21,21,23	2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	0.30652108788490295,0.2683296799659729,0.2719581127166748,0.04930218309164047,0.045912016183137894,0.25860610604286194,0.06532800197601318,0.03707665205001831,0.03712371736764908,0.028056347742676735,0.04229056462645531,0.029476871713995934,0.023764271289110184,0.02710767649114132,0.02037869393825531,0.02032630890607834,0.02937978506088257,0.02033247984945774,0.021237807348370552,0.03604941815137863,0.003938619047403336,0.003718466265127063,0.0035108281299471855,0.0033552185632288456,2.7450895868241787E-4,2.7450895868241787E-4,2.7278499328531325E-4,1.94872947758995E-4,0.0,0.0,0.0,0.0,1.0048947297036648E-4,1.0048947297036648E-4,1.0048947297036648E-4,1.1658833682304248E-4,3.7185699329711497E-4,3.9056537207216024E-4,0.0012067683273926377,0.0010365841444581747,6.283464026637375E-4,6.283464026637375E-4,6.641346262767911E-4,2.5554094463586807E-4,2.5554094463586807E-4,2.5554094463586807E-4,2.5554094463586807E-4,2.570128708612174E-4,1.0515377653064206E-4,0.0,7.135479245334864E-4,6.796579109504819E-4,7.643873104825616E-4,6.796579109504819E-4,6.11122406553477E-4,6.12952106166631E-4,4.211774794384837E-4,7.390786777250469E-4,2.0864394900854677E-4,1.6813875117804855E-4	111.8573226928711,111.8573226928711,111.8573226928711,105.75633239746094,105.75633239746094,111.8573226928711,105.6658935546875,99.10175323486328,99.10175323486328,96.64361572265625,96.64361572265625,95.07522583007812,101.90313720703125,101.82251739501953,99.23747253417969,99.23747253417969,101.06890869140625,100.88188171386719,100.88188171386719,101.06890869140625,98.74884033203125,98.74884033203125,98.74884033203125,98.74884033203125,88.27511596679688,88.27511596679688,88.27511596679688,88.27511596679688,88.19691467285156,88.19691467285156,88.19691467285156,88.19691467285156,88.19691467285156,88.19691467285156,88.19691467285156,81.74092864990234,82.79875946044922,82.79875946044922,88.28703308105469,88.18132019042969,86.72863006591797,86.72863006591797,86.72863006591797,85.11433410644531,85.11433410644531,85.11433410644531,85.11433410644531,85.11433410644531,83.35258483886719,81.7059097290039,86.0816879272461,86.05782318115234,87.05715942382812,86.05782318115234,86.05782318115234,86.05782318115234,85.89103698730469,86.30426788330078,85.7286148071289,83.54209899902344	1457.json
13,13,13	3,3,3	4,4,4	0.13013173639774323,0.02808416821062565,0.02808416821062565	98.7625503540039,97.36382293701172,97.36382293701172	774.json
3,3,8,14,15,15,17	1,1,2,3,4,4,5	0,0,0,2,7,7,9	0.8507246375083923,0.6511887311935425,0.151662677526474,0.011542048305273056,0.06864886730909348,0.06208828464150429,0.04065318778157234	131.60296630859375,130.85629272460938,110.44464111328125,96.6224136352539,94.16556549072266,94.16556549072266,91.54354858398438	719.json
3	1	0	0.7767645120620728	132.61029052734375	1538.json
3	1	0	0.5006908178329468	129.7158966064453	786.json
3	1	0	0.42166197299957275	130.85629272460938	1603.json
3	1	0	0.0016928199911490083	126.9422836303711	1975.json
3	1	0	0.09006379544734955	128.8092498779297	1982.json
7,7	1,1	0,0	0.004304545931518078,0.0042558955028653145	112.34737396240234,112.34737396240234	355.json
6	1	0	0.0	111.79608154296875	47.json
5,5,5,5,5,5,3,3,3,3	2,2,2,2,2,2,1,1,1,1	2,2,2,2,2,2,0,0,0,0	0.6222119331359863,0.6222119331359863,0.6222119331359863,0.6222119331359863,0.6222119331359863,0.6222119331359863,0.1439320296049118,0.1439320296049118,0.1439320296049118,0.06713587790727615	120.6200180053711,120.6200180053711,120.6200180053711,120.6200180053711,120.6200180053711,120.6200180053711,129.0255889892578,129.0255889892578,129.0255889892578,129.34671020507812	1907.json
3	1	0	0.4647592008113861	130.99049377441406	70.json
3,3,3,4	1,1,1,1	0,0,0,0	0.24387869238853455,0.24387869238853455,0.24387869238853455,0.0465095154941082	128.712890625,128.712890625,128.712890625,122.05648803710938	564.json
4,4,4,5,5,5,10,5,10,10,10,10,10,8,8,8,7,6,6	1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2	0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,3,3	0.18532097339630127,0.04820572957396507,0.08016406744718552,0.013443142175674438,0.013751876540482044,0.01438258308917284,0.06273464858531952,0.01438258308917284,0.06273464858531952,0.07264285534620285,0.07264285534620285,0.07264285534620285,0.06742439419031143,0.08454661816358566,0.08454661816358566,0.08454661816358566,0.022769879549741745,0.05539076030254364,0.05539076030254364	121.41175079345703,120.95364379882812,121.21369934082031,116.85455322265625,116.85455322265625,116.85455322265625,103.0690689086914,116.85455322265625,103.0690689086914,103.0690689086914,103.0690689086914,103.0690689086914,103.110107421875,107.64583587646484,107.64583587646484,107.64583587646484,110.77831268310547,114.54450988769531,114.54450988769531	296.json
3,3,3,3	1,1,1,1	0,0,0,0	0.3175605535507202,0.3175605535507202,0.3175605535507202,0.3175605535507202	128.8092498779297,128.8092498779297,128.8092498779297,128.8092498779297	1595.json
3,4	1,1	0,0	0.4494829475879669,0.07806161791086197	129.69032287597656,122.76004028320312	578.json
7,7,6,6,6,7,7	2,2,2,2,2,2,2	3,3,3,3,3,3,3	0.008040184155106544,0.0040691569447517395,0.0016926208045333624,0.0016926208045333624,0.0016926208045333624,0.0019150037551298738,0.0018251078436151147	109.81428527832031,109.40991973876953,112.50777435302734,112.50777435302734,112.50777435302734,110.01053619384766,110.15571594238281	115.json
5	1	0	0.013660324737429619	116.9176254272461	1134.json
3	1	0	0.8801499605178833	133.59722900390625	1601.json
3	1	0	0.9912829399108887	129.94700622558594	1385.json
