SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
9,9,8	5,5,4	9,11,8	1.7162415315397084E-4,0.0,0.001387692173011601	101.0693359375,100.79338073730469,105.4261474609375	148.json
21	5	3	0.07958903163671494	86.7491455078125	731.json
48,55,64,64,38	15,18,21,21,13	10,16,20,20,16	0.0,0.0,0.0,0.0,0.0	65.92644500732422,61.77466583251953,57.58175277709961,57.569759368896484,70.33838653564453	1808.json
22,22,22	4,4,4	4,4,4	8.540882845409214E-4,0.0010038127657026052,0.0010217300150543451	84.40997314453125,84.49878692626953,84.49878692626953	1926.json
13,13	4,4	4,4	0.04762939363718033,0.04767904803156853	97.90263366699219,97.90263366699219	3198.json
8,8,8,8	2,2,2,2	2,2,2,2	0.25871995091438293,0.24732771515846252,0.26157474517822266,0.04936293885111809	108.34576416015625,108.34576416015625,108.34576416015625,107.84434509277344	415.json
9,29,28	3,6,8	4,8,10	0.41997575759887695,0.016294730827212334,0.0044938442297279835	104.57923126220703,79.23778533935547,79.0880355834961	431.json
3	1	0	0.5496434569358826	129.14646911621094	3018.json
3,3,3,3	1,1,1,1	0,0,0,0	0.04062240943312645,0.00614547822624445,0.007902654819190502,0.007902654819190502	128.62307739257812,128.62307739257812,128.62307739257812,128.62307739257812	1044.json
12,5,6,6	1,1,1,1	0,0,0,0	0.0023321271874010563,0.895691454410553,0.7440306544303894,0.2674914598464966	99.00564575195312,120.23355865478516,114.98188781738281,113.61531829833984	333.json
9,11,11,8,8,22,23,19,23,25,24,24,20,20,23,23,23,25,26	8,8,8,2,2,6,6,5,6,7,7,7,6,6,6,6,6,8,9	8,8,8,2,2,8,8,4,4,7,6,6,4,4,4,4,4,7,12	0.003978952299803495,0.004028935916721821,0.001459756400436163,0.09448996931314468,0.03006172366440296,0.0010891437996178865,9.96297923848033E-4,0.006306508090347052,6.962804473005235E-4,0.0014136743266135454,0.0011276130098849535,0.0011276130098849535,0.0035374185536056757,0.0035476526245474815,0.0,0.0,0.0,0.0,0.0	102.3926010131836,98.5139389038086,98.14610290527344,107.29112243652344,107.7956771850586,84.3957290649414,83.481689453125,88.18232727050781,84.31861114501953,81.80428314208984,82.93994903564453,82.93994903564453,87.23497772216797,87.14973449707031,83.2548599243164,83.34428405761719,83.07368469238281,80.35079956054688,78.72803497314453	2978.json
