SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.5338016748428345	131.91592407226562	29850.json
3	1	0	0.020174674689769745	129.47398376464844	41122.json
20	5	7	0.010161921381950378	89.75809478759766	50433.json
10,10	3,3	8,8	0.030763406306505203,0.030785487964749336	103.58568572998047,103.58568572998047	29600.json
3,3,3	1,1,1	0,0,0	0.776503324508667,0.1828220784664154,0.18262791633605957	130.45266723632812,128.60531616210938,128.60531616210938	4925.json
3,3	1,1	0,0	0.11784380674362183,0.03054974414408207	129.0255889892578,128.51292419433594	47945.json
14	4	8	0.19962245225906372	94.17157745361328	6491.json
12	2	5	0.004361633211374283	99.82325744628906	2184.json
3	1	0	0.5284768342971802	132.9956512451172	4913.json
7	2	2	0.1069994568824768	111.1139144897461	148.json
3,3	1,1	0,0	0.9455360174179077,0.9455360174179077	132.9956512451172,132.9956512451172	41091.json
3,3,3,3	1,1,1,1	0,0,0,0	0.17765456438064575,0.1862584948539734,0.2606138288974762,0.21295003592967987	129.57785034179688,128.60531616210938,129.57785034179688,129.0215301513672	12851.json
6	1	0	0.016706643626093864	113.29327392578125	29849.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.0,2.0484263950493187E-4,2.1673523588106036E-4,2.4233540170826018E-4,0.8573247790336609,0.6152666807174683,0.6167048215866089	126.20867156982422,126.86129760742188,126.86129760742188,126.86129760742188,130.18594360351562,129.14646911621094,129.14646911621094	27672.json
6,6,6	2,2,2	2,2,2	0.7588087320327759,0.7588087320327759,0.7588087320327759	114.03678894042969,114.03678894042969,114.03678894042969	16260.json
23,23,23,21,57,58,33,33	3,3,3,2,11,10,5,5	5,5,5,2,15,14,8,8	0.03205912560224533,0.030937371775507927,0.0044336505234241486,0.020599156618118286,3.93558555515483E-4,0.0,0.005598894786089659,0.005711504723876715	84.47611999511719,84.47611999511719,83.91204071044922,86.09822082519531,64.0115737915039,63.333377838134766,76.36798095703125,76.35002136230469	42314.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.9050025939941406,0.9050025939941406,0.9098460078239441,0.9098460078239441,0.7080658078193665,0.7080658078193665,0.7080658078193665	131.1385955810547,131.1385955810547,131.1385955810547,131.1385955810547,131.1385955810547,131.1385955810547,131.1385955810547	8739.json
4,4,4	1,1,1	0,0,0	0.5665003061294556,0.5665003061294556,0.5665003061294556	126.62725830078125,126.62725830078125,126.62725830078125	21187.json
3,4,4,5	1,1,1,1	0,0,0,0	0.8485556244850159,0.7782816290855408,0.7782816290855408,0.6680352091789246	130.85629272460938,124.05243682861328,124.05243682861328,118.90116882324219	25505.json
3	1	0	0.3861539661884308	128.53907775878906	5081.json
12	2	1	0.22718793153762817	99.60504913330078	48051.json
15	4	4	4.0772720240056515E-4	92.89893341064453	18737.json
82,82,82	18,18,18	25,25,25	0.0,0.0,0.0	52.875797271728516,52.875797271728516,52.875797271728516	26730.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.986680805683136,0.9971857070922852,0.9971857070922852,0.9970806241035461,0.9970806241035461	130.30841064453125,129.0255889892578,129.0255889892578,129.0255889892578,129.0255889892578	44794.json
10,16,16	4,6,6	4,7,7	0.0,3.294832422398031E-4,3.2113518682308495E-4	100.77947998046875,90.89695739746094,90.97144317626953	22515.json
3	1	0	0.7261754870414734	131.28770446777344	46397.json
9,11	2,2	2,2	0.020491158589720726,0.03549142926931381	104.3827896118164,100.51654815673828	45061.json
3,3,3	1,1,1	0,0,0	0.4748198986053467,0.4748198986053467,0.4748198986053467	129.7158966064453,129.7158966064453,129.7158966064453	4428.json
13,15,14,14,11	3,4,4,4,3	2,6,6,5,2	0.03162039816379547,0.02902955934405327,0.034664470702409744,0.06421997398138046,0.09438379108905792	97.58027648925781,94.35343170166016,96.0146484375,96.18672180175781,101.3360824584961	8474.json
6,6	2,2	2,2	0.03826328366994858,0.03999175876379013	114.10689544677734,114.10689544677734	3721.json
3,3,3	1,1,1	0,0,0	0.9621202945709229,0.9621202945709229,0.8355268239974976	130.99049377441406,130.99049377441406,132.9956512451172	49134.json
7,7,7,7,10,4	4,4,4,4,5,1	8,8,8,8,11,0	0.7846184968948364,0.7846184968948364,0.9023993611335754,0.9023993611335754,0.6127351522445679,0.14103108644485474	108.26757049560547,108.26757049560547,108.93038940429688,108.93038940429688,101.74109649658203,123.85247039794922	50117.json
3	1	0	0.5475772619247437	133.59722900390625	14017.json
3,3	1,1	0,0	0.9023258686065674,0.9137458801269531	134.26058959960938,133.59722900390625	8365.json
3,3,3,3	1,1,1,1	0,0,0,0	0.5801570415496826,0.4294349253177643,0.4204486012458801,0.4204486012458801	132.25152587890625,130.44261169433594,130.44261169433594,130.44261169433594	36007.json
18	4	6	4.6609542914666235E-4	88.96102142333984	23101.json
3,25	1,7	0,14	0.7314408421516418,0.005579207092523575	131.1385955810547,83.08312225341797	38929.json
10,11,12	2,3,3	2,4,4	0.0758717879652977,0.08613304048776627,0.06699725240468979	103.1622314453125,100.95687866210938,98.8529281616211	17454.json
