SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
10,10,10	2,2,2	2,2,2	0.538853645324707,0.538853645324707,0.538853645324707	107.08238220214844,107.08238220214844,107.08238220214844	4925.json
3,3,3	1,1,1	0,0,0	0.30193307995796204,0.30193307995796204,0.30193307995796204	131.28770446777344,131.28770446777344,131.28770446777344	6491.json
22	4	6	0.003216266632080078	87.29635620117188	2184.json
2,2,2	1,1,1	0,0,0	0.6008337736129761,0.6008337736129761,0.6008337736129761	143.36026000976562,143.36026000976562,143.36026000976562	4913.json
15,25,20,8,8	3,4,2,1,1	9,14,2,0,0	0.0,0.0,0.0,0.0824001207947731,0.0824001207947731	92.52157592773438,81.80177307128906,87.21407318115234,109.85400390625,109.85400390625	8739.json
4	1	0	0.13344155251979828	124.81353759765625	11120.json
5,5,5	1,1,1	0,0,0	0.5286369919776917,0.5286369919776917,0.5286369919776917	119.41529846191406,119.41529846191406,119.41529846191406	3721.json
7,7,7,5,5	2,2,2,2,2	2,2,2,2,2	0.17060983180999756,0.17060983180999756,0.17060983180999756,0.1609610766172409,0.1609610766172409	112.18234252929688,112.18234252929688,112.18234252929688,120.09993743896484,120.09993743896484	8365.json
3,3,3	1,1,1	0,0,0	0.8590623140335083,0.8590623140335083,0.8590623140335083	132.4454345703125,132.4454345703125,132.4454345703125	731.json
4	1	0	0.488751083612442	125.67656707763672	4623.json
7,7,7,7,7,4,3,3,3,3	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.035544201731681824,0.03501889854669571,0.037385791540145874,0.037385791540145874,0.037385791540145874,0.010700155049562454,0.0081047797575593,0.03684491291642189,0.03684491291642189,0.03684491291642189	110.91889953613281,110.85592651367188,110.59208679199219,110.59208679199219,110.59208679199219,121.62247467041016,127.8611831665039,128.60531616210938,128.60531616210938,128.60531616210938	183.json
4	1	0	0.09590405970811844	124.04872131347656	5782.json
3,3	1,1	0,0	0.4454215466976166,0.4454215466976166	132.25152587890625,132.25152587890625	9386.json
3	1	0	0.9083850979804993	133.59722900390625	11181.json
9	3	4	0.26330336928367615	105.70091247558594	5530.json
3	1	0	0.7014378905296326	130.57513427734375	6513.json
19,19	3,3	2,2	0.006731793750077486,0.006731793750077486	88.74225616455078,88.74225616455078	10416.json
8,9,9,9,15,15,15,16,15,15,16,17,17,18,19,21,27,28,27,27,27,27,27,25,26,27,28,28,29,31,32,31,32,32,31,32	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6	0.83412766456604,0.8200028538703918,0.7416793704032898,0.6684378981590271,0.5024756789207458,0.5024756789207458,0.5074591040611267,0.448513925075531,0.48166128993034363,0.48436692357063293,0.461482435464859,0.42015528678894043,0.40715447068214417,0.3703213930130005,0.3263286054134369,0.20538713037967682,0.11794493347406387,0.08843259513378143,0.10597630590200424,0.12712432444095612,0.12712432444095612,0.12712432444095612,0.11328350752592087,0.21318195760250092,0.19597843289375305,0.15618786215782166,0.14361196756362915,0.13188660144805908,0.10417071729898453,0.06037627160549164,0.040119003504514694,0.06037627160549164,0.040226150304079056,0.040226150304079056,0.04501592367887497,0.03859643638134003	111.023681640625,109.11559295654297,109.11559295654297,109.11559295654297,96.40083312988281,96.40083312988281,96.40083312988281,94.95982360839844,96.40083312988281,96.40083312988281,94.95982360839844,93.60539245605469,93.60539245605469,92.32772827148438,91.01026153564453,88.78095245361328,83.3512191772461,82.5152587890625,83.43647003173828,83.43647003173828,83.43647003173828,83.43647003173828,83.43647003173828,85.21540069580078,83.64874267578125,82.79379272460938,81.97012329101562,81.97012329101562,81.175537109375,79.66586303710938,78.94739532470703,79.66586303710938,78.94739532470703,78.94739532470703,79.66586303710938,78.94739532470703	6428.json
4,4	1,1	0,0	0.5033729672431946,0.5495774745941162	125.27178192138672,124.91740417480469	6262.json
9,10,10,10,10,10,10,10,10,6,7,7,7,7,7,8	2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0.006645681336522102,0.010103107430040836,0.010103107430040836,0.009960457682609558,0.011907368898391724,0.011907368898391724,0.011907368898391724,0.014588062651455402,0.014588062651455402,0.9333534240722656,0.9080395698547363,0.8520843386650085,0.8507551550865173,0.8507551550865173,0.6811805367469788,0.5104061365127563	104.68801879882812,102.70849609375,102.70849609375,102.70849609375,102.70849609375,102.70849609375,102.70849609375,102.9811782836914,102.9811782836914,117.59266662597656,113.9032211303711,113.9032211303711,113.9032211303711,113.9032211303711,113.9032211303711,109.36314392089844	6348.json
3,3,3	1,1,1	0,0,0	0.912784218788147,0.8572797775268555,0.8572797775268555	132.4454345703125,132.4454345703125,132.4454345703125	3663.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.9290173649787903,0.9290173649787903,0.9290173649787903,0.9290173649787903,0.9290173649787903,0.9290173649787903	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	10794.json
4,4,4,4	1,1,1,1	0,0,0,0	0.43720176815986633,0.3360024690628052,0.3547047972679138,0.3547047972679138	124.26470947265625,124.1749038696289,124.1749038696289,124.1749038696289	9518.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.0021934467367827892,0.002167627913877368,0.00706273689866066,0.008887342177331448,0.008887342177331448	120.53255462646484,120.53255462646484,121.90362548828125,121.90362548828125,121.90362548828125	415.json
3	1	0	0.851082980632782	133.18099975585938	4040.json
3	1	0	0.1326903998851776	133.59722900390625	7397.json
4,7	1,2	0,2	0.030468260869383812,0.11176035553216934	123.56243133544922,112.53359985351562	11338.json
