SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.7968969941139221	131.28770446777344	4925.json
5	2	2	0.26384931802749634	118.13093566894531	4281.json
28,29,35,34,5,5	7,7,8,8,1,1	10,10,12,12,0,0	0.006773396860808134,0.0030670801643282175,5.312798311933875E-4,6.384848966263235E-4,0.00980643555521965,0.009889899753034115	80.3194808959961,79.3730697631836,75.07693481445312,75.83946228027344,119.31893157958984,119.2291259765625	6491.json
9,9	2,2	2,2	0.31680798530578613,0.31680798530578613	104.42105102539062,104.42105102539062	2184.json
3,3	1,1	0,0	0.9223106503486633,0.7283811569213867	131.75106811523438,129.57785034179688	4913.json
7,7,7	2,2,2	0,0,0	0.5164281725883484,0.5164281725883484,0.5164281725883484	112.76071166992188,112.76071166992188,112.76071166992188	148.json
3	1	0	8.120792917907238E-4	129.4591827392578	15388.json
26	6	7	1.7555183148942888E-4	79.80290222167969	12851.json
2,3	1,1	0,0	0.98905348777771,0.0865534171462059	139.0139617919922,129.69032287597656	14758.json
7,7	2,2	2,2	0.6088982224464417,0.8264771699905396	111.01065063476562,111.01065063476562	8739.json
7,6	1,1	0,0	8.572206716053188E-4,3.936915018130094E-4	109.99320220947266,112.97779083251953	18737.json
3	1	0	0.0732642412185669	128.62307739257812	11120.json
3	1	0	0.06565389037132263	129.4591827392578	4428.json
3	1	0	0.6176765561103821	132.25152587890625	8474.json
3,3,3,3,3,4	1,1,1,1,1,1	0,0,0,0,0,0	0.8745490312576294,0.8550460338592529,0.8550460338592529,0.8550460338592529,0.8550460338592529,0.844282865524292	131.43582153320312,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,126.33003997802734	15746.json
3,3,3,3,3,3,3,5,5,5	1,1,1,1,1,1,1,2,2,2	0,0,0,0,0,0,0,2,2,2	0.758572518825531,0.758572518825531,0.10787563771009445,0.004390326794236898,0.003132300451397896,0.003132300451397896,0.003132300451397896,0.03061559423804283,0.03061559423804283,0.03061559423804283	131.43582153320312,131.43582153320312,129.81976318359375,128.41912841796875,128.712890625,128.712890625,128.712890625,118.43477630615234,118.43477630615234,118.43477630615234	3721.json
3	1	0	0.01446948479861021	128.92515563964844	14017.json
3	1	0	0.7936010360717773	130.45266723632812	8365.json
35,35,35,36	7,7,7,7	7,7,7,7	0.007025411818176508,0.0035515488125383854,0.003714346792548895,0.0036741134244948626	75.75183868408203,76.02801513671875,76.1355972290039,75.56207275390625	731.json
3,3,4,4,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.01763220690190792,0.018311088904738426,0.06987292319536209,0.06518274545669556,0.06331074237823486,0.06518274545669556	128.70916748046875,128.70916748046875,123.28064727783203,123.28064727783203,123.28064727783203,123.28064727783203	17454.json
12	1	0	0.0	101.50581359863281	4623.json
12,12,12,12,12	3,3,3,3,3	0,0,0,0,0	0.019830161705613136,0.019830161705613136,0.0256411861628294,0.0256411861628294,0.02411573752760887	99.3042984008789,99.3042984008789,99.07544708251953,99.07544708251953,99.07544708251953	183.json
3	1	0	0.6578491926193237	130.30841064453125	1808.json
7,7	2,2	0,0	0.603036105632782,0.538429319858551	113.3831787109375,112.68669891357422	11890.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0	128.3238067626953,128.3238067626953,127.02415466308594,128.3238067626953,128.3238067626953,128.3238067626953	17807.json
3,3	1,1	0,0	0.022615712136030197,0.024719025939702988	128.8092498779297,127.94110107421875	18288.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.8663851022720337,0.8663851022720337,0.8663851022720337,0.8663851022720337,0.8663851022720337	132.086669921875,132.086669921875,132.086669921875,132.086669921875,132.086669921875	15625.json
8	2	2	0.5835517048835754	110.22791290283203	5782.json
6,6,6,6	2,2,2,2	2,2,2,2	0.4928092360496521,0.4757133424282074,0.36386042833328247,0.4951850473880768	115.33042907714844,115.56517028808594,115.56517028808594,116.4021987915039	9386.json
3,3	1,1	0,0	0.5955714583396912,0.5955714583396912	130.99049377441406,130.99049377441406	1926.json
4	1	0	0.16790688037872314	123.74861145019531	17137.json
3,3,3,9	1,1,1,1	0,0,0,0	0.7845999002456665,0.771909773349762,0.543764591217041,0.2598462700843811	130.45266723632812,130.45266723632812,129.81976318359375,107.33250427246094	14296.json
3	1	0	0.4250171482563019	131.75106811523438	15430.json
3,3	1,1	0,0	0.20502129197120667,0.5051268339157104	132.25152587890625,129.4591827392578	6513.json
3	1	0	0.8165161609649658	133.59722900390625	4016.json
3	1	0	0.23303629457950592	129.0215301513672	14235.json
4	1	0	0.4698314964771271	124.1488037109375	5586.json
3,3,3	1,1,1	0,0,0	0.8377193212509155,0.8055711388587952,0.8130248188972473	133.59722900390625,133.59722900390625,132.9956512451172	10416.json
3	1	0	0.9500916004180908	133.59722900390625	6428.json
3	1	0	0.701804518699646	130.70933532714844	6262.json
13,13	3,3	4,4	0.09417487680912018,0.04629157856106758	98.15799713134766,98.00941467285156	14915.json
3,3,3	1,1,1	0,0,0	0.1796610802412033,0.6531070470809937,0.08301683515310287	128.70916748046875,131.43582153320312,129.12539672851562	10921.json
5	1	0	0.20018157362937927	119.2291259765625	18574.json
3	1	0	0.9509325623512268	132.9956512451172	3198.json
3,3	1,1	0,0	0.07207407802343369,0.07207407802343369	129.58164978027344,129.58164978027344	18357.json
