SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
12,11,8,8,8,8,8,9,9	2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2	0.12466135621070862,0.05647411569952965,0.0347394123673439,0.034978028386831284,0.034978028386831284,0.03710414096713066,0.03710414096713066,0.045730505138635635,0.06516005843877792	98.26728820800781,100.05091857910156,105.20986938476562,105.20986938476562,105.20986938476562,105.20986938476562,105.20986938476562,103.23875427246094,103.36558532714844	4925.json
5,3,7,6,6,6,7	1,1,2,2,2,2,2	0,0,2,2,2,2,2	0.8590818643569946,0.08604340255260468,0.2132260799407959,0.21654339134693146,0.1987871676683426,0.1987871676683426,0.20496909320354462	117.72811889648438,128.41912841796875,109.77171325683594,112.26895904541016,112.26895904541016,112.26895904541016,109.67630004882812	4913.json
29,27	4,4	5,5	0.01264420710504055,0.015338744036853313	80.4216079711914,81.57923889160156	148.json
3,3,3,3	1,1,1,1	0,0,0,0	0.09908314794301987,0.14409072697162628,0.15414245426654816,0.15414245426654816	133.59722900390625,132.9956512451172,132.4454345703125,132.4454345703125	183.json
4,6,3	1,1,1	0,0,0	0.004847800824791193,0.02453959733247757,0.0034552444703876972	120.76844787597656,113.50555419921875,125.49577331542969	1926.json
3	1	0	0.658504068851471	130.99049377441406	5530.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.7670281529426575,0.7670281529426575,0.7643311023712158,0.7498324513435364,0.7643311023712158,0.7643311023712158	129.93223571777344,129.93223571777344,130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562	6428.json
3	1	0	0.6725476384162903	130.99049377441406	6262.json
6,6	2,2	2,2	0.2896442413330078,0.3289185166358948	115.40231323242188,115.17733001708984	6348.json
3,3,8,10,18,18,18,10,10	1,1,2,2,4,4,4,2,2	0,0,0,0,3,3,3,0,0	0.7593593001365662,0.8708258867263794,0.8196367025375366,0.8206908106803894,0.08393631130456924,0.11492583900690079,0.11492583900690079,0.47083204984664917,0.47083204984664917	132.79563903808594,132.61029052734375,107.87340545654297,104.25848388671875,91.51457214355469,91.41324615478516,91.41324615478516,104.10655212402344,104.10655212402344	3198.json
3	1	0	0.5064589977264404	129.93223571777344	415.json
12	1	0	0.6966105103492737	102.5577621459961	7397.json
12,12	4,4	5,5	0.12820450961589813,0.12820450961589813	98.9415512084961,98.9415512084961	3421.json
3	1	0	0.506955087184906	129.93223571777344	431.json
3	1	0	0.40766164660453796	129.7158966064453	6171.json
11,12,12,14,14,8	4,4,4,4,4,2	4,4,4,4,4,0	0.39418861269950867,0.37890711426734924,0.37890711426734924,0.3839416801929474,0.3507120907306671,0.5365014672279358	101.75957489013672,100.34999084472656,100.34999084472656,97.67939758300781,97.2860336303711,108.24650573730469	3575.json
7,7,8	3,3,3	3,3,3	0.14322492480278015,0.14402459561824799,0.20414027571678162	110.82950592041016,110.82950592041016,108.5544662475586	7359.json
44,45,45,42,41,37,30,29,29,29,29,29,29	5,5,5,4,4,3,1,1,1,1,1,1,1	15,15,15,12,12,8,0,0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	67.87513732910156,67.51107788085938,67.92841339111328,69.51383209228516,70.02452850341797,72.4041748046875,77.6626968383789,78.25383758544922,78.25383758544922,78.25383758544922,78.25383758544922,78.25383758544922,78.08917236328125	1490.json
3	1	0	0.6465870141983032	130.99049377441406	6364.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.7520928382873535,0.7520928382873535,0.7492793798446655,0.7233988642692566,0.7492793798446655,0.7492793798446655	129.93223571777344,129.93223571777344,130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562	6424.json
12,12	2,2	0,0	0.730812668800354,0.7075292468070984	103.11750793457031,103.11750793457031	284.json
6	2	4	0.3454599380493164	115.41443634033203	2978.json
4,4,4,4	1,1,1,1	0,0,0,0	0.4518199861049652,0.4518199861049652,0.44367700815200806,0.438742995262146	124.6862564086914,124.6862564086914,124.25267028808594,124.25267028808594	5176.json
3,3	1,1	0,0	0.7249193787574768,0.7249193787574768	130.45266723632812,130.45266723632812	6256.json
3,3,4	1,1,1	0,0,0	0.0,0.0,0.0	125.81354522705078,125.81354522705078,120.41825866699219	6961.json
19,19	1,1	0,0	0.003814953612163663,0.003449059324339032	90.68539428710938,90.68539428710938	5395.json
13,13,10,13,10,10,10,10,10	2,2,1,2,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0.8715199828147888,0.8715199828147888,0.5458057522773743,0.6162906885147095,0.5458057522773743,0.5223764777183533,0.5458057522773743,0.47200945019721985,0.6674478650093079	101.32520294189453,101.32520294189453,107.60960388183594,101.32520294189453,107.60960388183594,106.778564453125,107.60960388183594,107.60960388183594,107.60960388183594	7161.json
38,43,41,40,40,41,41,43,40,54,49	8,7,7,7,7,7,7,6,6,10,10	9,10,10,10,10,10,10,8,8,15,15	8.862440008670092E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	73.20658874511719,72.08161163330078,72.85317993164062,73.0938949584961,73.0938949584961,72.66700744628906,72.59134674072266,69.5519027709961,72.28227996826172,65.24142456054688,66.81547546386719	2870.json
3,27,27,27,28,28,28	1,5,5,5,5,5,5	0,5,5,5,5,5,5	0.8438577651977539,1.5951960813254118E-4,2.1843958529643714E-4,2.1843958529643714E-4,2.0870828302577138E-4,2.545414608903229E-4,2.292789431521669E-4	130.7338104248047,80.06683349609375,80.06683349609375,80.06683349609375,79.44854736328125,79.57882690429688,79.57882690429688	220.json
9,9,9,10,10,10	3,3,3,3,3,3	6,6,6,6,6,4	0.41166386008262634,0.4299865663051605,0.4299865663051605,0.4886731207370758,0.4883498251438141,0.5894747972488403	103.8555679321289,103.8555679321289,103.8555679321289,102.07699584960938,102.07699584960938,103.04519653320312	7448.json
19,19,25,28,30	4,4,7,7,7	3,3,6,6,6	0.2496742308139801,0.2496742308139801,0.09821750968694687,0.0749010294675827,0.07224885374307632	90.3814468383789,90.3814468383789,82.71157836914062,80.87564849853516,79.6814956665039	2631.json
3,3	1,1	0,0	0.36625394225120544,0.36625394225120544	130.30841064453125,130.30841064453125	5160.json
3	1	0	0.7651124596595764	130.30841064453125	6139.json
5,5	2,2	2,2	0.9672367572784424,0.9672625660896301	118.1375503540039,118.1375503540039	1947.json
4	1	0	0.9012066125869751	125.79222106933594	5052.json
10	2	0	0.2771792411804199	103.98494720458984	7578.json
3,3	1,1	0,0	0.7838477492332458,0.7838477492332458	131.60067749023438,131.60067749023438	2063.json
3	1	0	0.13840177655220032	130.57513427734375	7149.json
13,13	4,4	4,4	0.014429595321416855,0.0031667978037148714	95.1050796508789,95.02798461914062	6677.json
3	1	0	0.6841562390327454	131.43582153320312	4788.json
11,11,11	3,3,3	4,4,4	0.00809392612427473,0.00809392612427473,0.007686982396990061	99.69561004638672,99.69561004638672,99.69561004638672	6592.json
