SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
8,8,3	2,2,1	3,3,0	0.7153182625770569,0.7616723775863647,0.6516383290290833	111.1359634399414,111.1359634399414,130.57513427734375	4281.json
3	1	0	0.7327319979667664	131.1385955810547	6491.json
3,3,3,3	1,1,1,1	0,0,0,0	0.07440588623285294,0.07440588623285294,1.5418586554005742E-4,1.5418586554005742E-4	129.34671020507812,129.34671020507812,127.17938995361328,127.17938995361328	4913.json
6,6,6	2,2,2	1,1,1	0.47703471779823303,0.46293196082115173,0.46293196082115173	118.47325134277344,118.47325134277344,118.47325134277344	148.json
12,12,12,11,10,9,9,10,10,10,10,10,13,16,16,21,21	3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,7	5,5,5,5,5,5,5,5,5,5,5,5,9,12,12,13,13	0.006365999113768339,0.006999047473073006,0.014203177765011787,0.07179621607065201,0.054101623594760895,0.008300956338644028,0.008300956338644028,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.034969937056303024,0.032313279807567596,0.032313279807567596,0.0,0.0	97.32121276855469,97.32121276855469,97.66981506347656,100.11113739013672,102.0732650756836,105.14616394042969,105.17365264892578,102.9505844116211,102.9505844116211,102.9505844116211,102.9505844116211,102.9505844116211,96.88317108154297,92.67143249511719,92.67143249511719,86.18492889404297,86.18492889404297	8739.json
3,3	1,1	0,0	0.021729720756411552,0.023773077875375748	127.8512954711914,127.76728820800781	5081.json
3,3	1,1	0,0	0.07132692635059357,0.07075484097003937	129.34671020507812,129.34671020507812	4428.json
4,4	1,1	0,0	0.09710854291915894,0.09710854291915894	123.55950164794922,123.55950164794922	8474.json
3,3	1,1	0,0	0.24291187524795532,0.22202907502651215	129.58164978027344,129.58164978027344	3721.json
10,10	2,2	2,2	0.39074593782424927,0.39074593782424927	104.45793151855469,104.45793151855469	8365.json
33	9	13	0.0	75.98582458496094	731.json
12,12,12	4,4,4	5,5,6	0.1350882351398468,0.1373700052499771,0.07164061069488525	99.11571502685547,99.11571502685547,98.72222900390625	4623.json
3,3,3	1,1,1	0,0,0	0.5704091787338257,0.5704091787338257,0.5704091787338257	130.85629272460938,130.85629272460938,130.85629272460938	183.json
3,3,3,3	1,1,1,1	0,0,0,0	0.21662215888500214,0.21662215888500214,0.21662215888500214,0.09336699545383453	129.58164978027344,129.58164978027344,129.58164978027344,128.4090576171875	5782.json
3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0.07993355393409729,0.07993355393409729,0.2380453497171402,0.2332887053489685,0.22606810927391052,0.2176891416311264,0.2176891416311264,0.2221817523241043,0.2221817523241043	128.8092498779297,128.8092498779297,129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344	9386.json
3,3	1,1	0,0	0.5319919586181641,0.8916972279548645	132.43687438964844,131.1385955810547	1926.json
3,3	1,1	0,0	0.16969284415245056,0.16969284415245056	129.58164978027344,129.58164978027344	6513.json
3,3,3,3	1,1,1,1	0,0,0,0	0.8083541989326477,0.8083541989326477,0.8083541989326477,0.8168466687202454	130.18594360351562,130.18594360351562,130.18594360351562,130.18594360351562	5586.json
3	1	0	0.2080446481704712	129.58164978027344	6428.json
3,3,3,3	1,1,1,1	0,0,0,0	0.23548179864883423,0.278764933347702,0.2771620452404022,0.2771620452404022	129.0255889892578,129.0255889892578,129.0255889892578,129.0255889892578	6348.json
