SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
17,17,20,20,17,17,21	4,4,5,5,4,4,5	7,7,8,8,7,7,8	0.144297793507576,0.14590786397457123,0.026315756142139435,0.0235755555331707,0.12699803709983826,0.131915882229805,0.021321745589375496	93.57420349121094,93.57420349121094,89.4756851196289,89.4756851196289,93.57420349121094,93.57420349121094,88.43296813964844	26253.json
6	1	0	0.10478996485471725	114.71296691894531	29342.json
5,15,15,15,15,15,15	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.1508529931306839,4.063560045324266E-4,3.844916354864836E-4,3.638034104369581E-4,1.2950638483744115E-4,1.9841374887619168E-4,3.1447349465452135E-4	117.79822540283203,94.2165298461914,94.2165298461914,94.2165298461914,93.7522964477539,93.94314575195312,94.2165298461914	4281.json
4	1	0	0.03213583305478096	123.94486236572266	34152.json
4	1	0	0.29280391335487366	126.4781494140625	6491.json
51,52,52,53,53,52,52,52,52,52,52,52	3,3,3,3,3,3,3,3,3,3,3,3	8,8,8,8,8,8,8,8,8,8,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	66.76936340332031,66.31712341308594,66.31712341308594,65.96466827392578,65.88897705078125,66.27324676513672,66.26013946533203,66.16944122314453,66.36555480957031,66.47282409667969,66.47282409667969,66.51801300048828	4913.json
8,8,8,8,8,12,12,16,16,16,16,16	2,2,2,2,2,2,2,3,3,3,3,3	0,0,0,0,0,0,0,2,2,2,2,2	0.26222869753837585,0.28290486335754395,0.28290486335754395,0.28290486335754395,0.26987001299858093,0.03965087980031967,0.03754190728068352,0.06352338194847107,0.0680268406867981,0.06352338194847107,0.0680268406867981,0.056300580501556396	109.36935424804688,109.75241088867188,109.75241088867188,109.75241088867188,109.75241088867188,99.46337890625,99.46337890625,94.71942138671875,94.75902557373047,94.71942138671875,94.75902557373047,94.75902557373047	11879.json
7	1	0	0.028286367654800415	110.18888092041016	15388.json
5,4	1,1	0,0	0.551282525062561,0.5232124924659729	120.55997467041016,124.81353759765625	14050.json
9	2	2	0.22522896528244019	107.34870910644531	12851.json
23,27,23	5,6,5	9,11,9	0.03188743069767952,0.02342456392943859,0.03188743069767952	86.92095947265625,83.24932098388672,86.92095947265625	27672.json
9,9	1,1	0,0	2.880572865251452E-4,1.624575088499114E-4	103.79609680175781,103.56647491455078	16260.json
6,6,6,7	2,2,2,1	0,0,0,0	0.21365585923194885,0.21365585923194885,0.21365585923194885,0.26563966274261475	116.30582427978516,116.30582427978516,116.30582427978516,111.91390228271484	14758.json
4,5,5,5,4	1,1,1,1,1	0,0,0,0,0	0.7067973613739014,0.5977030396461487,0.725116491317749,0.725116491317749,0.5324431657791138	123.56243133544922,117.35016632080078,117.40723419189453,117.40723419189453,123.19084167480469	39799.json
5,5	1,1	0,0	0.1241496130824089,0.1241496130824089	124.17005920410156,124.17005920410156	21187.json
