SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,3,3,20,6	1,1,1,6,2	0,0,0,9,2	0.7033023238182068,0.7578991055488586,0.7578991055488586,0.06649097800254822,0.43009182810783386	130.45266723632812,130.45266723632812,130.45266723632812,88.47444915771484,116.86482238769531	4925.json
11,12,21,20	3,3,5,5	6,6,10,10	0.012377242557704449,0.015047348104417324,4.377994337119162E-4,3.8554726052097976E-4	101.28197479248047,98.6472396850586,86.27315521240234,87.13206481933594	4281.json
3,3,5,5	1,1,2,1	0,0,2,0	0.6174572706222534,0.6174572706222534,0.17812713980674744,0.1741589903831482	133.59722900390625,133.59722900390625,118.76382446289062,119.6896743774414	6491.json
5,3	1,1	0,0	0.046202972531318665,0.06939432770013809	119.41305541992188,127.94976043701172	4913.json
16,17,17,17	4,4,4,4	3,3,3,3	0.024485832080245018,0.006856628693640232,0.024767931550741196,0.024767931550741196	93.8514404296875,91.91888427734375,92.78794860839844,92.78794860839844	11879.json
11	1	0	0.0	98.80084991455078	12851.json
14,23,15,15,27,27,29,30,30,30,24,26	6,5,5,5,8,8,8,8,8,8,6,6	5,2,2,2,2,2,2,2,2,2,2,2	0.06443148851394653,0.04255190119147301,0.08620762079954147,0.08620762079954147,0.0015898642595857382,0.0015898642595857382,0.0017879646038636565,0.0,0.0,0.0,0.0,0.0	96.27327728271484,86.38697052001953,94.54598236083984,94.54598236083984,80.41018676757812,80.41018676757812,78.77290344238281,77.41767883300781,77.47515106201172,77.47515106201172,82.28192138671875,81.00856018066406	8739.json
10,10,10,10,10,10	1,1,1,1,1,1	0,0,0,0,0,0	0.005756656639277935,0.005756656639277935,0.005756656639277935,0.005756656639277935,0.005756656639277935,0.01741473190486431	103.47886657714844,103.47886657714844,103.47886657714844,103.47886657714844,103.47886657714844,104.97481536865234	4428.json
3,3,3	1,1,1	0,0,0	0.5888761281967163,0.5888761281967163,0.31937918066978455	130.85629272460938,130.85629272460938,130.07347106933594	3721.json
14,15,16,16,16,16	5,5,7,7,7,7	8,8,14,14,14,14	0.1100587546825409,0.06314442306756973,0.015181390568614006,0.015181390568614006,0.015181390568614006,0.014815215021371841	95.27693176269531,93.98094177246094,91.44711303710938,91.44711303710938,91.44711303710938,91.48180389404297	4623.json
6,6,6	2,2,2	3,3,3	0.05727434158325195,0.05727434158325195,0.05969144031405449	114.29821014404297,114.29821014404297,114.03815460205078	183.json
3,3	1,1	0,0	0.25319957733154297,0.25319957733154297	129.69032287597656,129.69032287597656	11890.json
7,7,7	2,2,2	2,2,2	0.16626645624637604,0.16626645624637604,0.16626645624637604	112.39112091064453,112.39112091064453,112.39112091064453	5782.json
3,3,3	1,1,1	0,0,0	0.7825507521629333,0.7825507521629333,0.7825507521629333	129.81976318359375,129.81976318359375,129.81976318359375	9386.json
3	1	0	0.20634004473686218	132.4454345703125	1926.json
18,18	7,7	10,10	0.0829404890537262,0.0829404890537262	91.61467742919922,91.61467742919922	11181.json
23	7	7	0.0026649299543350935	85.90129852294922	6513.json
13	2	2	0.008979232981801033	96.28900909423828	4016.json
5	2	3	0.13774007558822632	118.28404235839844	5586.json
5,5,7,6	1,1,1,1	0,0,0,0	0.0,0.0,0.0,0.0	116.93981170654297,116.93981170654297,110.51870727539062,113.01594543457031	6428.json
12,8,9,10,10,11,11,12	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	2.7201103512197733E-4,0.00953164417296648,0.0035534207709133625,0.0013285952154546976,0.0012631346471607685,4.5496050734072924E-4,4.6913744881749153E-4,1.7585759633220732E-4	98.24916076660156,107.93238830566406,105.23442840576172,102.82852935791016,102.82852935791016,100.65711212158203,100.65711212158203,98.6781997680664	6262.json
5,4,5,4,5,5,5	2,1,1,1,1,1,1	0,0,0,0,0,0,0	0.22128047049045563,0.021935613825917244,0.17086859047412872,0.021935613825917244,0.17086859047412872,0.17086859047412872,0.1249023824930191	119.08562469482422,122.28182983398438,117.35016632080078,122.28182983398438,117.35016632080078,117.35016632080078,117.3387222290039	10921.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.1084420457482338,0.1084420457482338,0.1084420457482338,0.05234870687127113,0.05234870687127113	124.91740417480469,124.91740417480469,124.91740417480469,123.96263122558594,123.96263122558594	6348.json
15,15,16	2,2,2	0,0,0	0.0027302291709929705,0.0027302291709929705,0.003071820130571723	93.72655487060547,93.72655487060547,92.6810302734375	9518.json
3,3	1,1	0,0	0.0506611168384552,0.0506611168384552	132.4454345703125,132.4454345703125	415.json
9,3,3	1,1,1	0,0,0	0.013877195306122303,0.066152423620224,0.058180298656225204	103.9974136352539,128.92515563964844,129.2428436279297	4040.json
12,11	3,3	5,5	0.05127694457769394,0.03237265720963478	99.5779037475586,101.14044189453125	7397.json
4	1	0	0.293631911277771	124.7987289428711	3421.json
6	2	2	0.30704861879348755	114.90279388427734	4374.json
8	2	2	0.029754970222711563	107.94556427001953	7188.json
11,11	2,2	3,3	0.01999467797577381,0.01999467797577381	102.3989028930664,102.3989028930664	6171.json
6,7	2,2	2,2	0.4130367338657379,0.2798616886138916	116.30582427978516,112.68008422851562	3796.json
5,5,4,5	1,1,1,1	0,0,0,0	0.004221003036946058,0.004221003036946058,0.010551700368523598,0.0019194469787180424	116.68047332763672,116.68047332763672,122.93385314941406,117.93329620361328	6239.json
20,16,16,16	4,4,4,4	8,8,8,8	0.004726621322333813,0.00911102443933487,0.00911102443933487,0.009782307781279087	87.78688049316406,91.90093231201172,91.90093231201172,91.90093231201172	4044.json
14	3	4	0.016545366495847702	98.04743957519531	7359.json
7,5,3,6,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.1317307949066162,0.10920379310846329,0.08312530815601349,0.044786710292100906,0.022215787321329117,0.022215787321329117	110.24336242675781,116.7376937866211,127.19728088378906,112.3524169921875,120.60482025146484,120.60482025146484	8264.json
3,3,3	1,1,1	0,0,0	0.5337008237838745,0.5337008237838745,0.5337008237838745	128.8092498779297,128.8092498779297,128.8092498779297	9512.json
3,3	1,1	0,0	0.4271746873855591,0.4271746873855591	131.1385955810547,131.1385955810547	1490.json
