SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
15	2	0	0.0458112396299839	95.08853912353516	26253.json
3,3	1,1	0,0	0.20158731937408447,0.20158731937408447	130.70933532714844,130.70933532714844	29342.json
4	1	0	0.035633187741041183	123.48088836669922	4925.json
3	1	0	0.9200945496559143	130.18594360351562	4281.json
6,3	2,2	2,2	0.28127989172935486,0.33486461639404297	115.35775756835938,127.8074722290039	2184.json
5,5,5,7,7	1,1,1,2,2	0,0,0,2,2	2.7568236691877246E-4,3.949386300519109E-4,0.06827600300312042,0.06890439242124557,0.06890439242124557	118.07197570800781,118.07197570800781,118.82000732421875,111.91561889648438,111.91561889648438	4913.json
3,3,3	1,1,1	0,0,0	0.29502981901168823,0.31408172845840454,0.31408172845840454	131.43582153320312,131.43582153320312,131.43582153320312	148.json
3,3	1,1	0,0	0.7908661365509033,0.7908661365509033	130.45266723632812,130.45266723632812	15388.json
4,4,4	1,1,1	0,0,0	0.009700162336230278,0.0028290548361837864,0.0015000267885625362	123.1068344116211,122.93054962158203,122.12659454345703	14050.json
3,3,3,3	1,1,1,1	0,0,0,0	0.010044805705547333,0.010513042099773884,0.003988410346210003,0.0038074853364378214	126.87217712402344,126.87217712402344,126.87217712402344,126.87217712402344	12851.json
3,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.013562924228608608,0.002108008833602071,0.005582014098763466,0.005582014098763466,0.008927455171942711	128.62307739257812,116.56893157958984,116.46694946289062,116.46694946289062,116.46694946289062	24667.json
3,3,3	1,1,1	0,0,0	0.7516365051269531,0.739464521408081,0.739464521408081	130.57513427734375,130.57513427734375,130.57513427734375	27672.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.2019193023443222,0.2019193023443222,0.3028651475906372,0.2945621609687805,0.26463010907173157,0.26463010907173157	129.0255889892578,129.0255889892578,129.81976318359375,129.81976318359375,129.81976318359375,129.81976318359375	16260.json
8,8,8,8	2,2,2,2	2,2,2,2	0.35198143124580383,0.35198143124580383,0.2633068859577179,0.18167664110660553	110.84379577636719,110.84379577636719,110.46502685546875,110.19127655029297	14758.json
19	4	2	0.26657670736312866	91.59856414794922	8739.json
2,2,2,2	1,1,1,1	0,0,0,0	0.5357795357704163,0.5357795357704163,0.2933753430843353,0.2933753430843353	139.0139617919922,139.0139617919922,138.65521240234375,138.65521240234375	21187.json
10,10,9	4,4,3	5,5,3	0.03231167048215866,0.03378574177622795,0.1272502839565277	102.67069244384766,102.54463958740234,106.060791015625	5081.json
3,3	1,1	0,0	0.049741216003894806,0.049741216003894806	128.31268310546875,128.31268310546875	18737.json
3,3,3,3,3	1,1,1,2,2	0,0,0,2,2	0.2985394597053528,0.2985394597053528,0.2985394597053528,0.47638463973999023,0.5000090003013611	130.18594360351562,130.18594360351562,130.18594360351562,127.71976470947266,127.71976470947266	26730.json
3	1	0	0.049024131149053574	127.8611831665039	22515.json
46,46	12,12	22,22	0.0,0.0	68.1371078491211,68.05339050292969	11120.json
30,36,36,36,42,42,45,45,45,45,59,58,16,16,16,16,11	3,3,3,3,3,3,3,3,3,3,5,6,4,4,4,4,3	2,2,2,2,2,2,2,2,2,2,5,9,6,6,6,6,4	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3626969303004444E-4,1.3426211080513895E-4,1.3426211080513895E-4,1.303352473769337E-4,8.251933613792062E-4	77.09941101074219,73.88938903808594,73.88938903808594,73.88938903808594,70.72511291503906,70.4840087890625,68.99079895019531,69.0572280883789,69.0870590209961,69.0870590209961,62.55200958251953,62.75745391845703,90.46650695800781,90.50432586669922,90.50432586669922,90.6058120727539,98.86039733886719	4428.json
3,3	1,1	0,0	0.7594196200370789,0.7594196200370789	133.59722900390625,133.59722900390625	8474.json
3	1	0	0.23373502492904663	133.80813598632812	3721.json
3	1	0	0.45966586470603943	130.57513427734375	14017.json
11,11,5	3,3,2	4,4,2	0.19606652855873108,0.19606652855873108,0.5850517153739929	102.97079467773438,102.97079467773438,116.22709655761719	731.json
13,15,11,11,10	4,4,2,2,2	5,5,3,3,3	0.007573713548481464,0.011402145959436893,0.010880098678171635,0.010880098678171635,0.019098572432994843	99.10346221923828,96.61747741699219,103.00760650634766,103.00760650634766,104.94426727294922	23101.json
