SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.9206726551055908	129.37762451171875	4925.json
4	1	0	0.6678951382637024	125.91468811035156	148.json
5,5	3,3	4,4	0.2834603786468506,0.2834603786468506	115.64282989501953,115.64282989501953	5081.json
10	3	2	0.0012465545441955328	101.40941619873047	3721.json
4	1	0	0.9391267895698547	126.19583892822266	731.json
17	5	9	3.326337318867445E-4	90.5309066772461	183.json
3,9,55	1,3,20	0,2,24	0.8040055632591248,0.49389970302581787,0.0	132.4454345703125,105.32933044433594,61.2586669921875	1808.json
4,4,4	2,2,2	2,2,2	0.007177149411290884,0.011952393688261509,0.011972584761679173	120.86674499511719,120.86674499511719,120.68061828613281	1926.json
2,2,2,2,2,2,2,2,2,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0.9760151505470276,0.9602776765823364,0.9639990329742432,0.9639990329742432,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.7751151323318481,0.7751151323318481,0.7751151323318481	137.30235290527344,137.02120971679688,137.02120971679688,137.02120971679688,142.4026641845703,142.4026641845703,142.4026641845703,142.4026641845703,142.4026641845703,132.79563903808594,132.79563903808594,132.79563903808594	5530.json
13,5	1,1	0,0	0.0018710282165557146,6.391250062733889E-4	95.66337585449219,117.22039794921875	5586.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.45191845297813416,0.4848769009113312,0.6239923238754272,0.6343901753425598,0.6323772072792053,0.7861859798431396,0.7784229516983032	129.37762451171875,129.37762451171875,131.03103637695312,131.03103637695312,131.03103637695312,132.4454345703125,132.4454345703125	3198.json
3,3	1,1	0,0	0.7887205481529236,0.7887205481529236	130.99049377441406,130.99049377441406	3663.json
7	1	0	0.0	108.7883529663086	415.json
3,5,6,6	1,1,1,1	0,0,0,0	0.14549767971038818,0.0024007409811019897,0.0,0.0	129.4591827392578,117.34275817871094,111.58821105957031,111.58821105957031	4040.json
3,3,3,3	1,1,1,1	0,0,0,0	0.5494120121002197,0.5494120121002197,0.8003925085067749,0.8003925085067749	132.25152587890625,132.25152587890625,133.59722900390625,133.59722900390625	3421.json
3,3,3	1,1,1	0,0,0	0.9550763964653015,0.9550763964653015,0.9411341547966003	132.9956512451172,132.9956512451172,132.9956512451172	4374.json
3,6	1,2	0,2	0.005201417487114668,0.008418352343142033	128.21994018554688,113.83045196533203	431.json
3	1	0	0.20696792006492615	130.30841064453125	3796.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.541132926940918,0.7633258700370789,0.7735993266105652,0.7720774412155151,0.761756181716919,0.761756181716919	132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172	3575.json
3,3	1,1	0,0	0.41325435042381287,0.26002225279808044	129.47398376464844,128.8092498779297	4044.json
6	2	2	0.08850422501564026	112.40872955322266	1490.json
3,3	1,1	0,0	0.17569252848625183,0.17569252848625183	129.93223571777344,129.93223571777344	3018.json
