SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
6,6	2,2	3,3	0.1468554437160492,0.4950713515281677	113.8475570678711,114.61321258544922	148.json
3	1	0	0.034744106233119965	127.76480865478516	731.json
3	1	0	0.6326672434806824	131.43582153320312	183.json
3	1	0	0.15128472447395325	128.7513427734375	415.json
4,3,3	1,1,1	0,0,0	0.3269307315349579,0.27985990047454834,0.3031156361103058	121.41175079345703,128.712890625,128.712890625	1044.json
3	1	0	0.6873442530632019	129.69032287597656	333.json
16,14	6,6	11,11	0.0,0.02014121226966381	90.2908935546875,94.61039733886719	307.json
4	1	0	0.5482996106147766	124.92120361328125	1182.json
13	3	0	3.661945229396224E-4	98.57569885253906	530.json
10,9	3,3	5,5	0.03243733197450638,0.03154372051358223	103.46681213378906,105.17365264892578	526.json
3	1	0	0.2712157070636749	129.0215301513672	403.json
8,8	2,2	2,2	0.05213688686490059,0.05213688686490059	109.02564239501953,109.02564239501953	577.json
4,4	1,1	0,0	1.3075547758489847E-4,3.0192488338798285E-4	121.62247467041016,121.98247528076172	250.json
5,6,6,6,6,7,3	2,2,2,2,2,2,1	3,2,2,2,2,2,0	0.005512175150215626,0.8541846871376038,0.8572403192520142,0.4618226885795593,0.8572403192520142,0.2875444293022156,0.18909169733524323	115.90534973144531,116.57478332519531,116.30830383300781,115.40231323242188,116.30830383300781,112.68008422851562,129.93223571777344	927.json
8,8,8,8,8,9	2,2,2,2,2,2	4,4,4,4,4,4	0.5768817067146301,0.5768817067146301,0.5314396619796753,0.5314396619796753,0.5314396619796753,0.38587966561317444	108.72486877441406,108.72486877441406,108.23919677734375,108.23919677734375,108.23919677734375,105.64405822753906	774.json
9	1	0	0.09330439567565918	106.81100463867188	719.json
3,3	1,1	0,0	0.04005980119109154,0.5467144250869751	129.69032287597656,130.99049377441406	786.json
10,10	3,3	2,2	0.20541425049304962,0.09897430986166	103.12975311279297,102.6790542602539	70.json
3,3,3	1,1,1	0,0,0	0.0,0.0,0.0	124.78694915771484,125.01306915283203,124.84430694580078	564.json
9,5	3,1	3,0	0.1431029736995697,0.6134650707244873	106.365478515625,117.73384857177734	753.json
4,4	1,1	0,0	0.5759947896003723,0.5759947896003723	126.37059020996094,126.37059020996094	578.json
3	1	0	0.09585566818714142	128.92515563964844	115.json
24	7	10	0.02582618035376072	83.1695327758789	1134.json
11,10	4,4	6,6	0.009956048801541328,0.024773024022579193	100.48387908935547,102.02790832519531	797.json
7,8,8,9,9,9	2,2,2,2,2,2	2,2,2,2,2,2	0.03720627725124359,0.22807855904102325,0.22472117841243744,0.17945316433906555,0.3515297770500183,0.3515297770500183	108.53195190429688,106.14424896240234,106.14424896240234,103.98135375976562,104.89884185791016,104.89884185791016	327.json
3	1	0	0.5704111456871033	129.4591827392578	381.json
4	1	0	0.009201287291944027	121.4874496459961	131.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.7030903697013855,0.6936315894126892,0.6763615608215332,0.726726233959198,0.726726233959198	130.99049377441406,132.086669921875,132.086669921875,132.086669921875,132.086669921875	890.json
10,10,10,10,10,10	3,3,3,3,3,3	3,3,3,3,3,3	0.08061103522777557,0.13998214900493622,0.4866304397583008,0.24621911346912384,0.32197120785713196,0.3156411647796631	102.6435775756836,102.9262924194336,103.3031005859375,103.12975311279297,103.39199829101562,103.5250015258789	185.json
3,3	1,1	0,0	0.7217341065406799,0.7217341065406799	130.57513427734375,130.57513427734375	798.json
8,8,9,12,12	2,2,2,3,3	0,0,0,3,3	0.0018721029628068209,0.0013321005972102284,0.0024150570388883352,0.01110725849866867,0.006199264898896217	105.5404281616211,105.34417724609375,103.17647552490234,97.57984924316406,97.57984924316406	935.json
3	1	0	0.14290589094161987	129.37762451171875	269.json
3,3,3	1,1,1	0,0,0	0.09628605842590332,0.10932859033346176,0.010822678916156292	129.0215301513672,128.8092498779297,128.1388702392578	1169.json
3	1	0	0.2517508566379547	128.4090576171875	943.json
18	5	7	0.11773697286844254	90.42227935791016	302.json
4,6,3	1,1,1	0,0,0	0.04290218651294708,0.30873459577560425,0.668917715549469	120.63237762451172,113.37531280517578,128.712890625	758.json
7,9,9	2,2,2	0,0,0	0.2949987053871155,0.10982910543680191,0.08968351036310196	113.22032165527344,106.59547424316406,106.59547424316406	1125.json
7,8	1,1	0,0	0.09102605283260345,0.11176107823848724	112.03626251220703,109.67644500732422	81.json
3	1	0	1.4028127770870924E-4	126.2267074584961	334.json
5	2	2	0.7348819375038147	121.18495178222656	647.json
6,6	2,2	2,2	0.6499731540679932,0.6653835773468018	116.231689453125,115.97023010253906	331.json
5	2	0	0.31601667404174805	119.52839660644531	738.json
3	1	0	0.7500641942024231	131.91592407226562	379.json
6,5,5	2,1,1	2,0,0	0.9154725074768066,0.9624975323677063,0.7149773240089417	118.72991943359375,118.98002624511719,118.14434051513672	1073.json
3	1	0	0.47331419587135315	130.57513427734375	1138.json
3,3	1,1	0,0	0.6389514207839966,0.3839488923549652	130.18594360351562,129.34671020507812	1141.json
3,4,3	1,1,1	0,0,0	0.18724435567855835,0.00844974722713232,0.005649674218147993	129.0215301513672,122.44184875488281,127.87090301513672	689.json
3,3,3,3	1,1,1,1	0,0,0,0	0.02506371960043907,0.012974862940609455,0.013735591433942318,0.014542547054588795	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	410.json
6,5,5,6,6	2,1,1,1,1	3,0,0,0,0	0.0323772206902504,0.025670126080513,0.005964110139757395,2.902075939346105E-4,3.7132331635802984E-4	112.3624267578125,115.17269134521484,114.57524871826172,110.32673645019531,110.32673645019531	1039.json
13	3	3	0.29702189564704895	100.43046569824219	736.json
3,3	1,1	0,0	0.04005980119109154,0.5467144250869751	129.69032287597656,130.99049377441406	788.json
3	1	0	0.7224549055099487	131.9385528564453	292.json
6,7,7,7,7,7,5,5	2,2,2,2,2,2,2,2	3,3,3,3,3,3,0,0	0.024491233751177788,0.18413865566253662,0.09129776805639267,0.07140550017356873,0.15883633494377136,0.16363196074962616,0.007962819188833237,0.014642435126006603	112.26044464111328,109.22467041015625,108.60899353027344,108.34161376953125,108.9308090209961,108.9308090209961,117.91622161865234,118.43477630615234	957.json
3	1	0	0.48133203387260437	129.2378692626953	940.json
6	2	3	0.013552059419453144	113.71862030029297	252.json
3,3,3	1,1,1	0,0,0	0.6218708753585815,0.6218708753585815,0.506269633769989	132.61029052734375,132.61029052734375,132.25152587890625	601.json
9,9,9,9,9,9	3,3,3,3,3,3	5,5,5,5,5,5	0.032092269510030746,0.0656469315290451,0.3191521465778351,0.1323186159133911,0.18969324231147766,0.18186728656291962	104.30802154541016,104.58818817138672,104.96511840820312,104.79460906982422,105.0525131225586,105.18561553955078	176.json
3,3,3	1,1,1	0,0,0	0.013714054599404335,0.01763402298092842,0.01907053217291832	128.51292419433594,128.3238067626953,128.4090576171875	1165.json
3	1	0	0.05139954015612602	129.69032287597656	119.json
3	1	0	0.9206094741821289	131.9385528564453	1198.json
3,3,3,3	1,1,1,1	0,0,0,0	0.24607834219932556,0.24769015610218048,0.24769015610218048,0.5334233045578003	129.57785034179688,129.57785034179688,129.57785034179688,129.93223571777344	829.json
3	1	0	0.6761637330055237	130.99049377441406	1135.json
3,3,3	1,1,1	0,0,0	0.5717207789421082,0.5717207789421082,0.4963568150997162	129.69032287597656,129.69032287597656,129.34671020507812	1225.json
11,11	4,4	5,5	0.058124348521232605,0.24922721087932587	102.50654602050781,102.50654602050781	99.json
13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.005488587077707052,0.0047167763113975525,0.005488587077707052,0.01079544797539711,0.005958778318017721,0.00717517314478755,0.023086607456207275,1.6407971270382404E-4,1.125352646340616E-4,1.0579482477623969E-4,0.0072623081505298615,0.0,0.0,0.0,0.0,0.0,1.957435451913625E-4,2.816874475684017E-4	96.5326156616211,94.72346496582031,96.5326156616211,98.47513580322266,98.13824462890625,98.455810546875,99.09090423583984,97.6808090209961,97.51913452148438,97.51913452148438,98.13824462890625,95.4112777709961,93.37020111083984,93.37020111083984,95.03667449951172,88.05322265625,88.60905456542969,87.52246856689453	775.json
9,9,9,9,9	3,3,3,3,3	5,5,5,5,5	0.08841562271118164,0.1645752191543579,0.28665846586227417,0.36751675605773926,0.34929537773132324	104.30802154541016,104.58818817138672,104.79460906982422,105.0525131225586,105.18561553955078	147.json
11,7,5,5	3,2,1,1	5,3,0,0	0.029352892190217972,0.1675906628370285,0.025146033614873886,0.025146033614873886	99.75788879394531,109.26641082763672,115.78025817871094,115.78025817871094	493.json
3,3	1,1	0,0	0.23490341007709503,0.2364649772644043	129.12539672851562,129.12539672851562	867.json
3	1	0	0.8128910660743713	130.45266723632812	114.json
6,7,7,7,7,7,7	2,2,2,2,2,2,2	5,5,5,5,5,5,5	0.004988769069314003,0.0031428516376763582,7.817464647814631E-4,0.0019277690444141626,0.0017440037336200476,0.0013715146342292428,5.645820638164878E-4	112.70321655273438,109.9588851928711,109.49183654785156,109.72106170654297,109.72106170654297,110.01335906982422,109.77314758300781	1014.json
4,4,4	1,1,1	0,0,0	0.10934511572122574,0.02324724569916725,0.10411839932203293	122.14535522460938,122.14535522460938,121.99011993408203	631.json
9,9,10,6	3,3,3,2	3,3,4,2	0.00787361804395914,0.00787361804395914,0.004414497409015894,0.02917863428592682	106.92008209228516,106.92008209228516,104.74713897705078,115.90658569335938	773.json
12,12	3,3	2,2	0.01326159667223692,0.028373220935463905	98.83429718017578,99.05168151855469	513.json
6,6,6,6	1,1,1,1	0,0,0,0	0.06683515012264252,0.06683515012264252,0.06683515012264252,0.06683515012264252	113.0893325805664,113.0893325805664,113.0893325805664,113.0893325805664	591.json
3	1	0	0.7746262550354004	131.28770446777344	1197.json
7	2	2	0.7564986348152161	113.8110580444336	309.json
3,3	1,1	0,0	0.9481608867645264,0.9481608867645264	133.59722900390625,133.59722900390625	1031.json
3	1	0	0.41429904103279114	130.7338104248047	993.json
3	1	0	0.7412022352218628	131.91592407226562	1056.json
3	1	0	0.014919043518602848	127.05960083007812	547.json
4	1	0	0.30436229705810547	123.94486236572266	135.json
3	1	0	0.3475300669670105	129.93223571777344	670.json
6	2	2	0.4036146104335785	116.86482238769531	450.json
