SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
12,12,9,10,10,10,7,10,12,12,10	2,2,1,1,1,1,1,2,2,2,2	3,3,0,0,0,0,0,2,2,2,2	0.6850898861885071,0.6850898861885071,0.9657681584358215,0.3800254762172699,0.3800254762172699,0.3800254762172699,0.7156527042388916,0.4935912787914276,0.256401389837265,0.24624307453632355,0.4935912787914276	99.2141342163086,99.2141342163086,105.56393432617188,102.83650970458984,102.83650970458984,102.83650970458984,109.51382446289062,102.41810607910156,98.35617065429688,98.35617065429688,102.41810607910156	29342.json
34,34,70,70,99,102,102,102,102,109,232,209,211,212	7,7,18,18,23,23,23,23,24,24,28,28,28,28	13,13,26,26,32,32,32,32,32,32,37,37,37,37	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	72.75218200683594,72.75218200683594,54.6482048034668,54.6482048034668,45.49957275390625,45.39752197265625,45.39752197265625,45.39752197265625,45.06328201293945,44.00941467285156,28.693607330322266,30.391828536987305,30.316268920898438,30.224700927734375	29600.json
3	1	0	0.6472854018211365	132.43687438964844	34152.json
22	4	6	0.03728911280632019	86.3870620727539	6491.json
3	1	0	0.9280408620834351	132.9956512451172	2184.json
66,66,66,66,60	18,18,18,18,18	40,40,40,40,40	0.0,0.0,0.0,0.0,0.0	58.38568115234375,58.38568115234375,58.38568115234375,58.38568115234375,60.196434020996094	4913.json
40	10	17	3.827021282631904E-4	71.15474700927734	148.json
14,13,13,12,14,14,14,14	3,3,3,3,3,3,3,3	5,5,5,5,5,5,5,5	0.49680188298225403,0.47443336248397827,0.43764734268188477,0.3494810461997986,0.42584696412086487,0.42584696412086487,0.42584696412086487,0.3690078556537628	95.42185974121094,96.68116760253906,96.55992889404297,98.09740447998047,95.13077545166016,95.13077545166016,95.13077545166016,94.99018859863281	15388.json
24,24,24,24,24	9,9,9,9,9	22,22,22,22,22	0.14921791851520538,0.14921791851520538,0.14921791851520538,0.14921791851520538,0.14921791851520538	82.46437072753906,82.46437072753906,82.46437072753906,82.46437072753906,82.46437072753906	14050.json
11,11,11,11	1,1,1,1	0,0,0,0	0.0,0.0,0.0,0.0	100.35992431640625,100.35992431640625,100.35992431640625,100.35992431640625	12851.json
6,6,6	1,1,1	0,0,0	0.4761112928390503,0.480043888092041,0.480043888092041	113.52389526367188,113.52389526367188,113.52389526367188	24667.json
10,10,10	1,1,1	0,0,0	1.1977107351412997E-4,1.1977107351412997E-4,1.1977107351412997E-4	102.63377380371094,102.63377380371094,102.63377380371094	27672.json
3	1	0	5.402122042141855E-4	133.59722900390625	16260.json
10	2	4	0.13647021353244781	102.98844146728516	8739.json
5,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.6366506814956665,0.8059197664260864,0.8059197664260864,0.8059197664260864,0.8059197664260864	120.63774108886719,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375	21187.json
3,3,3	1,1,1	0,0,0	0.9782463312149048,0.9782463312149048,0.9782463312149048	130.57513427734375,130.57513427734375,130.57513427734375	25505.json
36,36,36,37,37,35,32	3,3,3,3,3,3,12	2,2,2,2,2,2,16	0.010995667427778244,0.010995667427778244,0.010995667427778244,0.017467506229877472,0.017467506229877472,0.009212039411067963,0.0	75.97314453125,75.97314453125,75.97314453125,75.64029693603516,75.64029693603516,76.21633911132812,74.15040588378906	5081.json
8,8,8	3,3,3	4,4,4	0.6213774085044861,0.6213774085044861,0.6213774085044861	107.11321258544922,107.11321258544922,107.11321258544922	18737.json
2	1	0	0.12911219894886017	136.90872192382812	26730.json
5	1	0	0.030576780438423157	117.36475372314453	31073.json
8	2	2	0.2527112066745758	108.95927429199219	22515.json
18,18	3,3	2,2	0.18399791419506073,0.18399791419506073	92.59708404541016,92.59708404541016	11120.json
4,4	1,1	0,0	0.9881179332733154,0.9881179332733154	125.91468811035156,125.91468811035156	4428.json
8,7,7,7,9,9	1,1,1,1,1,1	0,0,0,0,0,0	0.3006426990032196,0.6115363836288452,0.6115363836288452,0.6115363836288452,0.13945336639881134,0.13945336639881134	108.92533111572266,112.04702758789062,112.04702758789062,112.04702758789062,106.45584106445312,106.45584106445312	8474.json
3,3,3	1,1,1	0,0,0	0.6817150712013245,0.6817150712013245,0.6817150712013245	131.1385955810547,131.1385955810547,131.1385955810547	36007.json
40,40,40,40,40,49,50	5,5,5,5,5,5,5	4,4,4,4,4,4,4	0.0,0.0,0.0,0.0,0.0,0.0,0.0	70.00599670410156,70.00599670410156,69.9787368774414,69.9787368774414,69.9787368774414,66.6488037109375,66.32151794433594	17454.json
17,26	3,5	2,5	0.01692383736371994,5.047211307100952E-4	91.55452728271484,82.16087341308594	29569.json
5,5,5,5	1,1,1,1	0,0,0,0	0.30225980281829834,0.30225980281829834,0.30225980281829834,0.30225980281829834	123.47569274902344,123.47569274902344,123.47569274902344,123.47569274902344	1808.json
7,7,7,8,8	1,1,1,1,1	0,0,0,0,0	0.8651367425918579,0.8651367425918579,0.8651367425918579,0.6810057759284973,0.6810057759284973	112.04702758789062,112.04702758789062,112.04702758789062,109.23433685302734,109.23433685302734	11890.json
8	3	3	0.2615084648132324	108.61744689941406	34955.json
6,6,6,7	2,2,2,2	2,2,2,2	0.19524343311786652,0.19524343311786652,0.19524343311786652,0.24505311250686646	115.03083801269531,115.03083801269531,115.03083801269531,112.25244903564453	22087.json
3,3,3	1,1,1	0,0,0	0.2729094922542572,0.2729094922542572,0.2729094922542572	132.9956512451172,132.9956512451172,132.9956512451172	29275.json
52,60,60,61,66,94,100,100,100	7,8,8,8,9,15,17,17,17	9,11,11,11,13,23,26,26,26	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	66.89533996582031,63.3570442199707,63.57289505004883,63.22111129760742,61.254146575927734,52.41427230834961,50.63411331176758,50.63411331176758,50.63411331176758	18288.json
11,3,3,3	3,1,1,1	3,0,0,0	0.12913471460342407,0.6118589639663696,0.6118589639663696,0.6118589639663696	101.26284790039062,129.81976318359375,129.81976318359375,129.81976318359375	15625.json
1,1,1,1	1,1,1,1	0,0,0,0	0.9914335608482361,0.9914335608482361,0.9914335608482361,0.9914335608482361	150.7931671142578,150.7931671142578,150.7931671142578,150.7931671142578	31768.json
92,92	10,10	12,12	0.0,0.0	53.05779266357422,53.05779266357422	9386.json
5	2	4	0.4040577709674835	116.28157043457031	31726.json
5,5	1,1	0,0	0.9419448375701904,0.9419448375701904	121.91352844238281,121.91352844238281	1926.json
3	1	0	0.8893774747848511	132.43687438964844	34097.json
6,6,6	2,2,2	3,3,3	0.0015770760364830494,0.0015274062752723694,0.0015274062752723694	111.52424621582031,111.52424621582031,111.52424621582031	21948.json
8,3,3,3	2,1,1,1	4,0,0,0	0.33904504776000977,0.3533916175365448,0.3533916175365448,0.3533916175365448	108.80433654785156,131.1535186767578,131.1535186767578,131.1535186767578	27954.json
16,16,16,16,16,13	3,3,3,3,3,3	5,5,5,5,5,5	0.29552239179611206,0.29552239179611206,0.30643582344055176,0.30643582344055176,0.30643582344055176,0.7492839097976685	91.74811553955078,91.74811553955078,91.74811553955078,91.74811553955078,91.74811553955078,95.71719360351562	28737.json
3,3,3	1,1,1	0,0,0	0.40204188227653503,0.40204188227653503,0.40204188227653503	132.9956512451172,132.9956512451172,132.9956512451172	28824.json
3	1	0	0.6211162209510803	129.81976318359375	24846.json
19,26,26,26,25	5,6,6,6,6	9,11,11,11,11	0.1593385636806488,0.14758434891700745,0.14758434891700745,0.14758434891700745,0.11701247841119766	88.45938873291016,82.20410919189453,82.20410919189453,82.20410919189453,82.7391128540039	16406.json
6	2	2	0.4228125214576721	115.25157928466797	34586.json
7	2	3	0.6887438893318176	110.83819580078125	19954.json
18	4	8	0.07583004981279373	90.84757995605469	5530.json
64,64,64,64,66	12,12,12,12,12	16,16,16,16,16	0.0,0.0,0.0,0.0,0.0	60.083045959472656,60.083045959472656,60.083045959472656,60.0713996887207,59.46622848510742	31908.json
25,26,26,26,26,18,18,18,18,14,18	1,3,3,3,3,3,3,3,3,1,1	0,3,3,3,3,3,3,3,3,0,0	0.0,2.428664593026042E-4,2.5032146368175745E-4,2.5032146368175745E-4,2.5032146368175745E-4,1.5809973410796374E-4,1.2723100371658802E-4,1.2723100371658802E-4,1.2723100371658802E-4,4.5229127863422036E-4,3.4232399775646627E-4	82.63977813720703,81.62671661376953,81.62671661376953,81.62671661376953,81.62671661376953,87.58385467529297,87.27790832519531,87.27790832519531,87.27790832519531,92.46194458007812,88.09063720703125	27315.json
13	3	6	0.8344748616218567	98.35713195800781	14296.json
