SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4,4,4,4,4,4,3,11,15,19,19,19,20,19,19,19,19,19	1,1,1,1,1,1,1,2,3,4,4,4,3,4,4,4,4,4	0,0,0,0,0,0,0,6,8,10,10,10,10,11,11,11,11,11	0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.9918696880340576,0.4858892261981964,0.38747602701187134,0.38625937700271606,0.38625937700271606,0.38391607999801636,0.5278856754302979,0.6303034424781799,0.49761325120925903,0.6303034424781799,0.6305776238441467,0.6303034424781799	125.91468811035156,125.91468811035156,125.91468811035156,125.91468811035156,125.91468811035156,125.91468811035156,134.999755859375,102.72735595703125,96.27352142333984,91.52684020996094,91.52684020996094,91.59856414794922,91.6100845336914,91.7054443359375,91.63168334960938,91.7054443359375,91.7054443359375,91.7054443359375	4281.json
3	1	0	0.5024425387382507	131.9385528564453	6491.json
4	1	0	0.46565720438957214	126.0733642578125	2184.json
23,23,23,23,23,23,23,27,27,27	5,5,5,5,5,5,5,6,6,6	10,10,10,10,10,10,10,10,10,10	0.0016587977297604084,0.001664404640905559,0.0016700307605788112,0.001664404640905559,0.001664404640905559,0.001664404640905559,0.001664404640905559,8.870303863659501E-4,0.0010174002964049578,0.0011620240984484553	84.96745300292969,84.96745300292969,84.96745300292969,84.96745300292969,84.96745300292969,84.96745300292969,84.96745300292969,81.7047119140625,81.7047119140625,81.7047119140625	4913.json
4,4,12,12,12,12,12,12,5,5,12,5,5,5,5,5,4,13,13	1,1,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,2,2	0,0,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0,2,2	0.9406822323799133,0.943277895450592,0.3186366558074951,0.5228186845779419,0.7178546786308289,0.598403811454773,0.6007316708564758,0.6053736805915833,0.9733978509902954,0.9733978509902954,0.37035369873046875,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.943277895450592,0.37000781297683716,0.37000781297683716	127.09062194824219,126.62725830078125,100.68655395507812,100.632080078125,101.0516128540039,101.01498413085938,101.01498413085938,101.01498413085938,122.03304290771484,122.03304290771484,101.01498413085938,122.03304290771484,122.03304290771484,122.03304290771484,122.03304290771484,122.03304290771484,126.62725830078125,101.7578353881836,101.7578353881836	4428.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7998751997947693,0.8813077807426453,0.7998751997947693,0.7998751997947693	134.26058959960938,131.75106811523438,134.26058959960938,134.26058959960938	8365.json
8	1	0	0.05427471548318863	108.82627868652344	731.json
3,3,3	1,1,1	0,0,0	0.8288450241088867,0.8288450241088867,0.8288450241088867	135.83412170410156,135.83412170410156,135.83412170410156	1808.json
4	1	0	0.00551712466403842	128.936767578125	5782.json
4,4,4,9,9,9,9,19,19,19,19,19,19	1,1,1,2,2,2,2,4,4,4,4,4,4	0,0,0,2,2,2,2,6,6,6,6,6,6	0.8370743989944458,0.6829068660736084,0.1116577535867691,0.25166329741477966,0.25166329741477966,0.25166329741477966,0.25166329741477966,0.15568238496780396,0.15568238496780396,0.15568238496780396,0.12879090011119843,0.14979411661624908,0.14979411661624908	126.33003997802734,125.39425659179688,123.28064727783203,107.40188598632812,107.40188598632812,107.40188598632812,107.40188598632812,92.45403289794922,92.45403289794922,92.45403289794922,92.0914077758789,92.45403289794922,92.45403289794922	1926.json
