SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
14,14,14,14,14	3,3,3,3,3	0,0,0,0,0	7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4	93.66898345947266,93.66898345947266,93.66898345947266,93.66898345947266,93.66898345947266	4925.json
7,7	2,2	2,2	0.5753508806228638,0.5633289217948914	112.01042175292969,112.01042175292969	2184.json
33,33,33,33,33,33,33,33	10,10,10,10,10,10,10,10	21,21,21,21,21,21,21,21	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	73.24390411376953,73.24390411376953,73.29515838623047,73.29515838623047,73.29515838623047,73.29515838623047,73.2068862915039,73.2068862915039	4913.json
3	1	0	0.8475384712219238	134.26058959960938	11879.json
7,8,8,8,9	1,1,1,1,1	0,0,0,0,0	0.046358805149793625,0.0501895397901535,0.044784385710954666,0.09775761514902115,0.01160212978720665	112.14561462402344,109.06641387939453,109.06641387939453,109.85306549072266,106.71825408935547	15388.json
3,3	1,1	0,0	0.1994687020778656,0.1994687020778656	128.8092498779297,128.8092498779297	14050.json
6,6,7,7,7	2,2,2,2,2	2,2,2,2,2	0.006572548300027847,0.006572548300027847,0.007757526822388172,0.007757526822388172,0.007359233684837818	112.1666259765625,112.1666259765625,109.35380554199219,109.35380554199219,109.35380554199219	12851.json
5,5,4,17,17,4,4	1,1,1,5,5,1,1	0,0,0,4,4,0,0	0.5266938209533691,0.5194495320320129,0.6501086950302124,0.21617110073566437,0.15574361383914948,0.9104914665222168,0.9104914665222168	117.79682159423828,117.79682159423828,125.41301727294922,91.96735382080078,91.7540512084961,126.62725830078125,126.62725830078125	16260.json
20,20,5,5	3,2,1,1	0,0,0,0	1.3351129018701613E-4,0.0,0.07065349817276001,0.06251001358032227	85.7175064086914,85.2966079711914,117.2905044555664,117.2905044555664	14758.json
3	1	0	0.5984567403793335	130.85629272460938	8739.json
4	1	0	0.0014184040483087301	122.85169219970703	21187.json
7,7,7,7,7	2,2,2,2,2	2,2,2,2,2	0.4319598078727722,0.32015377283096313,0.32015377283096313,0.32015377283096313,0.32015377283096313	110.15149688720703,109.7632064819336,109.7632064819336,109.7632064819336,109.7632064819336	5081.json
9,9,9	1,1,1	0,0,0	0.9822425842285156,0.9822425842285156,0.9822425842285156	110.71540069580078,110.71540069580078,110.71540069580078	22515.json
18	3	4	0.0	87.98078155517578	11120.json
10	3	4	0.03409656509757042	102.50090026855469	4428.json
3	1	0	0.48870018124580383	131.75106811523438	8474.json
13,13,13,13,13,13,17,17,19	3,3,3,3,3,3,4,4,5	6,6,6,6,6,6,8,8,9	0.07287754118442535,0.05213307961821556,0.028725896030664444,0.041047610342502594,0.041047610342502594,0.04661974683403969,0.05340323597192764,0.04389582574367523,0.004319631028920412	97.36382293701172,97.0353012084961,97.15911865234375,97.42842102050781,97.42842102050781,97.7361831665039,91.84404754638672,91.64656829833984,88.59227752685547	15746.json
13	3	4	0.0011273605050519109	95.45975494384766	3721.json
20	5	5	0.002382909646257758	86.2193374633789	14017.json
