SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.7387282848358154	130.99049377441406	4925.json
5	1	0	0.2603459656238556	119.67438507080078	4281.json
3,3	1,1	0,0	0.8713034391403198,0.8799150586128235	130.57513427734375,130.57513427734375	6491.json
7,8	1,1	0,0	0.8332643508911133,0.3593839108943939	111.28950500488281,107.715087890625	2184.json
5,5	2,2	2,2	0.7408306002616882,0.2912876307964325	120.40774536132812,119.16963195800781	148.json
3	1	0	0.9236494302749634	128.0600128173828	5081.json
16	3	4	0.006987925618886948	94.70948791503906	4428.json
4	1	0	0.3055662214756012	124.91740417480469	3721.json
11,11,11	5,5,5	6,6,6	0.03512747585773468,0.03512747585773468,0.02419257164001465	98.81023406982422,98.81023406982422,98.56661224365234	8365.json
4	1	0	0.4078490436077118	127.27810668945312	731.json
64,64,65,65,65,65,65,65,68,66,68,68,68,68,68,71,84,87,90	18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,20,21,22	51,49,51,51,51,51,51,51,57,57,61,61,61,65,65,66,68,70,72	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	60.299461364746094,60.64594650268555,60.25776672363281,60.25776672363281,60.25776672363281,60.25776672363281,60.25776672363281,60.25776672363281,59.1330451965332,59.61666488647461,58.88377380371094,58.865482330322266,58.72441101074219,58.58075714111328,58.58075714111328,57.525386810302734,53.68374252319336,52.695655822753906,51.73249816894531	4623.json
14,11,13	3,1,2	4,0,2	0.00583073403686285,0.03226281702518463,0.06380508095026016	97.4736328125,104.47219848632812,100.49451446533203	183.json
7,7	2,2	2,2	0.007258185651153326,0.007258185651153326	109.49183654785156,109.49183654785156	5782.json
12	4	6	0.09945168346166611	100.09062194824219	1926.json
27,27,29,33,33,17,16,18,18	5,5,3,6,6,5,5,5,5	6,6,4,10,10,8,8,12,15	0.013421964831650257,0.010094025172293186,0.04629436507821083,0.031596917659044266,0.02863578125834465,0.1563088595867157,0.16875597834587097,0.001481523155234754,0.02189025841653347	84.23019409179688,84.15654754638672,85.97748565673828,79.6754379272461,79.6754379272461,91.6348648071289,92.76606750488281,89.33978271484375,89.56912994384766	5530.json
38,34,68,68,68,68,78,81,81,82,82,76,78,76,77,77,78,87,110,111,107,108	9,6,16,16,16,16,18,19,19,19,19,18,18,17,17,17,17,21,27,28,26,26	12,8,31,31,31,31,37,38,38,38,38,36,34,33,33,33,33,38,48,51,47,47	2.0546872110571712E-4,2.749150444287807E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	71.95301055908203,74.53093719482422,57.26891326904297,57.26891326904297,57.50108337402344,57.50108337402344,54.388671875,53.33211135864258,53.33211135864258,53.05941390991211,52.98637390136719,55.22886657714844,54.785194396972656,55.53483963012695,55.264007568359375,55.1832275390625,54.95039367675781,51.26668167114258,44.57468795776367,44.03087615966797,45.37031936645508,45.17234802246094	6513.json
8	1	0	0.008944486267864704	106.87027740478516	5586.json
3	1	0	0.6197767853736877	130.99049377441406	6428.json
33,33,33,33	8,8,8,8	15,15,15,15	0.00832504965364933,0.00832504965364933,0.008703974075615406,0.02081063948571682	75.22856903076172,75.22856903076172,75.2518310546875,75.56278991699219	6262.json
16,16,14,14,13,14,14,15,16	3,3,2,2,2,2,2,2,2	3,3,1,2,2,2,2,3,3	0.16640210151672363,0.16640210151672363,0.17886091768741608,0.06440757215023041,0.21865567564964294,0.09587343782186508,0.0763775184750557,0.03318282589316368,0.015035233460366726	93.79535675048828,93.79535675048828,95.67306518554688,95.63725280761719,97.85717010498047,96.18856811523438,96.06475067138672,94.40652465820312,93.03589630126953	6348.json
31,31,29,35,37,38	5,5,4,5,5,5	7,9,5,11,13,14	0.0026402203366160393,0.00252265902236104,0.001761625986546278,2.003360423259437E-4,0.0,0.0	78.52983856201172,78.4444808959961,79.93624114990234,75.53633880615234,74.26750946044922,73.64391326904297	3198.json
2	1	0	0.044051799923181534	137.1436767578125	3663.json
14	3	4	0.08767444640398026	95.34967041015625	415.json
34	6	10	0.0015710428124293685	74.69471740722656	3421.json
18	5	13	0.04857449233531952	89.14266204833984	4374.json
5,5,4,4	1,1,1,1	0,0,0,0	0.0012913765385746956,0.008161783218383789,2.5491323322057724E-4,2.501850249245763E-4	116.7403564453125,117.87247467041016,122.60874938964844,122.36370849609375	7188.json
3	1	0	0.7804346680641174	130.07347106933594	431.json
3	1	0	0.952212393283844	131.03103637695312	3796.json
3	2	2	0.853842556476593	128.57925415039062	3575.json
6,9	2,3	3,4	0.1688295602798462,0.16945847868919373	116.21601867675781,107.89032745361328	7760.json
23,23,24	6,6,6	11,11,11	0.02617230825126171,0.02212279848754406,0.01343470998108387	86.49360656738281,86.2958755493164,85.20874786376953	8264.json
23,23,22,22,23,24,28,27,31,30	4,4,4,4,5,5,6,6,7,7	6,6,6,6,8,8,12,10,13,13	0.018990006297826767,0.018990006297826767,0.009338407777249813,0.00928134098649025,0.008390392176806927,0.00824037753045559,0.0010035473387688398,0.005323140416294336,6.516866269521415E-4,8.04574228823185E-4	85.36698150634766,85.36698150634766,85.66480255126953,85.63311767578125,84.25993347167969,83.57046508789062,79.80137634277344,80.9360122680664,77.52262878417969,78.22120666503906	1490.json
21	10	19	0.036930687725543976	85.07645416259766	6364.json
3	1	0	0.8663784265518188	133.59722900390625	9233.json
8	3	5	0.22105391323566437	106.91741180419922	7064.json
7	2	2	0.381012886762619	113.54827117919922	3018.json
3	1	0	0.3433038294315338	128.53907775878906	7264.json
39,41,41	8,8,8	18,18,18	0.0,0.0,0.0	70.87144470214844,69.59098815917969,69.6080093383789	333.json
20,20	3,3	5,5	0.012455131858587265,0.00902971439063549	89.2497787475586,89.02081298828125	284.json
3,3,4,4	1,1,1,1	0,0,0,0	0.11639230698347092,0.0451994314789772,0.0,0.0	127.17938995361328,127.17938995361328,122.27970123291016,122.12896728515625	5979.json
4	1	0	0.6443681716918945	124.1488037109375	2978.json
4	1	0	0.7952958345413208	124.6862564086914	4512.json
3	1	0	0.976089358329773	130.18594360351562	5176.json
3	1	0	0.6528972387313843	130.57513427734375	2514.json
31,34,19,23,23	9,10,6,6,6	16,18,10,15,19	0.006376612465828657,0.002354084514081478,0.3107084035873413,0.0022224464919418097,0.02051314152777195	77.65518951416016,75.52656555175781,89.96623992919922,84.87201690673828,85.26128387451172	4160.json
26,26,26,26,27,29	7,7,7,7,8,9	11,11,11,11,12,16	0.21869248151779175,0.21869248151779175,0.07164491713047028,0.057730503380298615,0.014504969120025635,0.004878954961895943	81.05896759033203,81.05896759033203,80.63835144042969,80.61273956298828,79.24541473388672,77.3536376953125	6256.json
14,14	4,4	7,8	1.9674224313348532E-4,1.9674224313348532E-4	95.25592803955078,95.25592803955078	6961.json
49,49	13,13	24,24	0.0,0.0	65.19898986816406,65.19898986816406	5733.json
20	3	2	0.017919285222887993	90.5035171508789	5395.json
18,21,25,25,16,16,17,20	3,3,4,4,2,2,2,3	6,6,10,10,4,4,4,8	0.027033351361751556,0.00501324562355876,0.003349010134115815,0.0030254994053393602,0.014498062431812286,0.026466285809874535,0.022650089114904404,0.005249122157692909	90.24286651611328,86.68234252929688,82.46475982666016,82.3775405883789,92.5074234008789,92.5074234008789,91.20049285888672,87.20187377929688	6740.json
5	1	0	0.1373659074306488	121.19861602783203	7161.json
